eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Egalitarian,Individual Time In Egalitarian,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Utilitarian,Individual Time In Utilitarian,PoA,PoS
84f49069-7c3a-4e1e-9db8-f5c3d6412eb8,23,False,"[(86, 119)]",210,232,75,97,210,86,205,205,86,205,86,205,86,205,86,205,86,205,86,205,86,205,86,205,86,205,86,205,86,205.0,86.0,205.0,86.0,205.0,86.0,205.0,86.0,1.0,1.0
84f49069-7c3a-4e1e-9db8-f5c3d6412eb8,23,False,"[(119, 86)]",232,210,97,75,232,119,205,205,119,205,119,205,119,205,119,205,119,205,119,205,119,205,119,205,119,205,119,205,119,205.0,119.0,205.0,119.0,205.0,119.0,205.0,119.0,1.0,1.0
f356d2f3-a27e-467a-b584-6532fb56ffc3,0,False,"[(314, 181)]",530,386,211,170,530,297,495,495,314,495,314,495,314,495,314,495,314,495,314,495,314,495,314,495,314,495,314,495,314,495.0,314.0,495.0,314.0,495.0,314.0,495.0,314.0,1.0,1.0
f356d2f3-a27e-467a-b584-6532fb56ffc3,0,False,"[(181, 314)]",386,530,170,211,386,198,495,495,181,495,181,495,181,495,181,495,181,495,181,495,181,495,181,495,181,495,181,495,181,495.0,181.0,495.0,181.0,495.0,181.0,495.0,181.0,1.0,1.0
96fbf2bb-45b7-45d4-a924-e2eb4d6a66d7,12,False,"[(132, 121)]",276,288,100,112,276,132,253,253,132,253,132,253,132,253,132,253,132,253,132,253,132,253,132,253,132,253,132,253,132,253.0,132.0,253.0,132.0,253.0,132.0,253.0,132.0,1.0,1.0
96fbf2bb-45b7-45d4-a924-e2eb4d6a66d7,12,False,"[(121, 132)]",288,276,112,100,288,121,253,253,121,253,121,253,121,253,121,253,121,253,121,253,121,253,121,253,121,253,121,253,121,253.0,121.0,253.0,121.0,253.0,121.0,253.0,121.0,1.0,1.0
cc0d13b2-44eb-4c25-a4b6-92288f55ae1e,11,False,"[(150, 127)]",210,188,130,92,210,150,277,277,150,277,150,277,150,277,150,277,150,277,150,277,150,277,150,277,150,277,150,277,150,277.0,150.0,277.0,150.0,277.0,150.0,277.0,150.0,1.0,1.0
cc0d13b2-44eb-4c25-a4b6-92288f55ae1e,11,False,"[(127, 150)]",188,210,92,130,188,127,277,277,127,277,127,277,127,277,127,277,127,277,127,277,127,277,127,277,127,277,127,277,127,277.0,127.0,277.0,127.0,277.0,127.0,277.0,127.0,1.0,1.0
738ff669-a255-41fe-943e-13b9d7bc8feb,22,False,"[(74, 63)]",200,166,58,31,200,68,125,137,74,137,74,137,74,137,74,137,74,137,74,137,74,137,74,137,74,137,74,137,74,137.0,74.0,137.0,74.0,137.0,74.0,137.0,74.0,1.096,1.096
738ff669-a255-41fe-943e-13b9d7bc8feb,22,False,"[(63, 74)]",166,200,31,58,166,57,125,137,63,137,63,137,63,137,63,137,63,137,63,137,63,137,63,137,63,137,63,137,63,137.0,63.0,137.0,63.0,137.0,63.0,137.0,63.0,1.096,1.096
