eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,PoA,PoS
7ca973a1-73a4-43f2-96c0-c05155c3f7d1,22,False,"[(54, 65), (50, 73), (67, 56)]",200,200,39,38,200,53,117,123,50,119,54,119,54,119,54,119,54,119,54,119,54,119,54,119,54,123,50,119,54,119.0,54.0,119.96090000000001,57.1229,121.0,60.5,119.0,54.0,1.0512820512820513,1.017094017094017
7ca973a1-73a4-43f2-96c0-c05155c3f7d1,22,False,"[(65, 54), (73, 50), (56, 67)]",200,200,38,39,200,64,117,123,73,119,65,119,65,119,65,119,65,119,65,119,65,119,65,119,65,123,73,119,65,119.0,65.0,119.96090000000001,62.838,121.0,60.5,119.0,65.0,1.0512820512820513,1.017094017094017
fffbdf83-e0ad-4a4b-9995-cf6f71efed19,22,False,"[(47, 70)]",200,200,38,38,200,50,111,117,47,117,47,117,47,117,47,117,47,117,47,117,47,117,47,117,47,117,47,117,47,117,47,117,47,117,47,117,47,1.054054054054054,1.054054054054054
fffbdf83-e0ad-4a4b-9995-cf6f71efed19,22,False,"[(70, 47)]",200,200,38,38,200,61,111,117,70,117,70,117,70,117,70,117,70,117,70,117,70,117,70,117,70,117,70,117,70,117,70,117,70,117,70,117,70,1.054054054054054,1.054054054054054
97df0985-103e-4901-ab72-4c8ea208381d,22,False,"[(88, 111), (125, 102)]",266,266,79,79,266,91,193,199,88,199,88,199,88,199,88,199,88,199,88,199,88,199,88,199,88,227,125,199,88,199.0,88.0,204.8482,95.728,213.0,106.5,199.0,88.0,1.1761658031088082,1.0310880829015545
97df0985-103e-4901-ab72-4c8ea208381d,22,False,"[(111, 88), (102, 125)]",266,266,79,79,266,102,193,199,111,199,111,199,111,199,111,199,111,199,111,199,111,199,111,199,111,227,102,199,111,199.0,111.0,204.8482,109.1202,213.0,106.5,199.0,111.0,1.1761658031088082,1.0310880829015545
f2083011-76ac-47ad-9e1b-c9076dfa16c0,11,False,"[(73, 50), (70, 59), (52, 63)]",210,166,50,39,210,52,115,123,73,115,52,115,52,115,52,129,70,123,73,123,73,115,52,115,52,129,70,115,52,115.0,52.0,118.65969999999999,61.6067,123.0,73.0,115.0,52.0,1.1217391304347826,1.0
f2083011-76ac-47ad-9e1b-c9076dfa16c0,11,False,"[(50, 73), (59, 70), (63, 52)]",166,210,39,50,166,63,115,123,50,115,63,115,63,115,63,129,59,123,50,123,50,115,63,115,63,129,59,115,63,115.0,63.0,118.65969999999999,57.053,123.0,50.0,115.0,63.0,1.1217391304347826,1.0
711d509a-bc10-4ae6-a724-4eb225a44b8e,12,False,"[(70, 59), (57, 68)]",210,222,43,50,210,57,125,125,57,125,57,125,57,125,57,129,70,125,57,125,57,125,57,125,57,129,70,125,57,125.0,57.0,126.5755,62.1204,125.0,57.0,125.0,57.0,1.032,1.0
711d509a-bc10-4ae6-a724-4eb225a44b8e,12,False,"[(59, 70), (68, 57)]",222,210,50,43,222,68,125,125,68,125,68,125,68,125,68,129,59,125,68,125,68,125,68,125,68,129,59,125,68,125.0,68.0,126.5755,64.4551,125.0,68.0,125.0,68.0,1.032,1.0
c55a8cc5-9102-4399-b52f-67d02fb5080e,22,False,"[(316, 227), (201, 290), (210, 287)]",706,716,191,207,706,204,485,491,201,497,210,491,201,491,201,497,210,497,210,497,210,491,201,491,201,543,316,491,201,491.0,201.0,509.7891,242.5528,514.0786,252.0393,491.0,201.0,1.1195876288659794,1.0123711340206185
c55a8cc5-9102-4399-b52f-67d02fb5080e,22,False,"[(227, 316), (290, 201), (287, 210)]",716,706,207,191,716,281,485,491,290,497,287,491,290,491,290,497,287,497,287,497,287,491,290,491,290,543,227,491,290,491.0,290.0,509.7891,267.2363,514.0786,262.0393,491.0,290.0,1.1195876288659794,1.0123711340206185
2797d5c4-5592-4115-93c2-899bddcc7543,0,False,"[(122, 145), (139, 128), (126, 137)]",320,432,68,91,320,125,261,267,122,263,126,263,126,263,126,267,139,267,122,267,122,263,126,263,126,267,139,263,126,263.0,126.0,263.39480000000003,127.2832,267.0,122.0,263.0,126.0,1.0229885057471264,1.0076628352490422
2797d5c4-5592-4115-93c2-899bddcc7543,0,False,"[(145, 122), (128, 139), (137, 126)]",432,320,91,68,432,136,261,267,145,263,137,263,137,263,137,267,128,267,145,267,145,263,137,263,137,267,128,263,137,263.0,137.0,263.39480000000003,136.1116,267.0,145.0,263.0,137.0,1.0229885057471264,1.0076628352490422
26020f70-3257-4501-9844-b8a323180ac3,1,False,"[(128, 117), (115, 126)]",474,508,95,106,474,115,241,241,115,241,115,241,115,241,115,245,128,241,115,241,115,241,115,241,115,245,128,241,115,241.0,115.0,242.5545,120.0521,241.0,115.0,241.0,115.0,1.016597510373444,1.0
26020f70-3257-4501-9844-b8a323180ac3,1,False,"[(117, 128), (126, 115)]",508,474,106,95,508,126,241,241,126,241,126,241,126,241,126,245,117,241,126,241,126,241,126,241,126,245,117,241,126,241.0,126.0,242.5545,122.5024,241.0,126.0,241.0,126.0,1.016597510373444,1.0
75268068-bc0d-4fbd-a79e-6f444feca481,0,False,"[(80, 103), (105, 94), (109, 86)]",210,256,66,76,210,83,177,183,80,183,80,183,80,183,80,199,105,183,80,183,80,183,80,183,80,199,105,183,80,183.0,80.0,186.7143,88.9762,183.0,80.0,183.0,80.0,1.1242937853107344,1.0338983050847457
75268068-bc0d-4fbd-a79e-6f444feca481,0,False,"[(103, 80), (94, 105), (86, 109)]",256,210,76,66,256,94,177,183,103,183,103,183,103,183,103,199,94,183,103,183,103,183,103,183,103,199,94,183,103,183.0,103.0,186.7143,97.7381,183.0,103.0,183.0,103.0,1.1242937853107344,1.0338983050847457
97a13be9-f846-4312-a66b-6daf9243696d,22,False,"[(94, 117)]",266,266,85,85,266,97,205,211,94,211,94,211,94,211,94,211,94,211,94,211,94,211,94,211,94,211,94,211,94,211,94,211,94,211,94,211,94,1.0292682926829269,1.0292682926829269
97a13be9-f846-4312-a66b-6daf9243696d,22,False,"[(117, 94)]",266,266,85,85,266,108,205,211,117,211,117,211,117,211,117,211,117,211,117,211,117,211,117,211,117,211,117,211,117,211,117,211,117,211,117,211,117,1.0292682926829269,1.0292682926829269
2f527dbe-64b2-4972-b17f-3f523031a680,0,False,"[(143, 166), (152, 163), (160, 137)]",718,672,134,123,718,151,291,297,160,297,160,297,160,297,160,315,152,297,160,297,160,297,160,297,160,315,152,297,160,297.0001,160.0,301.2352,154.0002,297.0,160.0,297.0,160.0,1.0824742268041236,1.0206185567010309
2f527dbe-64b2-4972-b17f-3f523031a680,0,False,"[(166, 143), (163, 152), (137, 160)]",672,718,123,134,672,140,291,297,137,297,137,297,137,297,137,315,163,297,137,297,137,297,137,297,137,315,163,297,137,297.0001,137.0001,301.2352,147.235,297.0,137.0,297.0,137.0,1.0824742268041236,1.0206185567010309
1b218381-8f6b-4911-a777-f9b3beee49a9,22,False,"[(104, 115)]",398,386,95,92,398,104,219,219,104,219,104,219,104,219,104,219,104,219,104,219,104,219,104,219,104,219,104,219,104,219,104,219,104,219,104,219,104,1.0,1.0
1b218381-8f6b-4911-a777-f9b3beee49a9,22,False,"[(115, 104)]",386,398,92,95,386,115,219,219,115,219,115,219,115,219,115,219,115,219,115,219,115,219,115,219,115,219,115,219,115,219,115,219,115,219,115,219,115,1.0,1.0
959cf275-063f-4b45-abf3-012027ab164e,33,False,"[(173, 206), (222, 189)]",254,254,78,74,254,177,365,379,173,379,173,379,173,379,173,379,173,379,173,379,173,379,173,379,173,411,222,379,173,379.0099,173.0151,388.6589,187.7902,395.0,197.5,379.0,173.0,1.126027397260274,1.0383561643835617
959cf275-063f-4b45-abf3-012027ab164e,33,False,"[(206, 173), (189, 222)]",254,254,74,78,254,188,365,379,206,379,206,379,206,379,206,379,206,379,206,379,206,379,206,379,206,411,189,379,206,379.0099,205.9948,388.6589,200.8687,395.0,197.5,379.0,206.0,1.126027397260274,1.0383561643835617
ad45c2ee-461f-4e58-ae03-d614ed34fbde,1,False,"[(96, 85)]",332,320,76,85,332,96,181,181,96,181,96,181,96,181,96,181,96,181,96,181,96,181,96,181,96,181,96,181,96,181,96,181,96,181,96,181,96,1.0,1.0
ad45c2ee-461f-4e58-ae03-d614ed34fbde,1,False,"[(85, 96)]",320,332,85,76,320,85,181,181,85,181,85,181,85,181,85,181,85,181,85,181,85,181,85,181,85,181,85,181,85,181,85,181,85,181,85,181,85,1.0,1.0
e1cd8e97-17b2-41ac-9ac4-e4c42212f57f,1,False,"[(152, 163), (148, 171)]",540,552,139,142,540,151,313,319,148,315,152,315,152,315,152,315,152,315,152,315,152,315,152,315,152,319,148,315,152,315.0,152.0,316.3265,150.6735,315.3334,151.6667,315.0,152.0,1.0191693290734825,1.0063897763578276
e1cd8e97-17b2-41ac-9ac4-e4c42212f57f,1,False,"[(163, 152), (171, 148)]",552,540,142,139,552,162,313,319,171,315,163,315,163,315,163,315,163,315,163,315,163,315,163,315,163,319,171,315,163,315.0,163.0,316.3265,165.653,315.3334,163.6667,315.0,163.0,1.0191693290734825,1.0063897763578276
dd6e953d-8c4c-457c-a1dc-5d8edba61ac8,1,False,"[(103, 114), (105, 82)]",288,276,85,73,288,105,187,187,105,187,105,187,105,187,105,217,103,187,105,187,105,187,105,187,105,217,103,187,105,187.0,105.0,188.8453,104.877,196.7058,104.3529,187.0,105.0,1.160427807486631,1.0
dd6e953d-8c4c-457c-a1dc-5d8edba61ac8,1,False,"[(114, 103), (82, 105)]",276,288,73,85,276,82,187,187,82,187,82,187,82,187,82,217,114,187,82,187,82,187,82,187,82,217,114,187,82,187.0,82.0,188.8453,83.9683,196.7058,92.3529,187.0,82.0,1.160427807486631,1.0
404614d8-94db-4adc-9239-eaf3471941fc,22,False,"[(53, 76), (57, 68), (74, 51)]",210,222,39,51,210,65,119,125,74,125,57,125,57,125,57,125,57,125,57,125,57,125,57,125,57,129,53,125,57,125.0,57.0107,125.0,63.0518,125.33340000000001,56.6667,125.0,57.0,1.084033613445378,1.050420168067227
