eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,Nash,Individual Time In Nash,Utilitarian,Individual Time In Utilitarian,PoA,PoS
d79bca47-7142-4532-81c1-c3e850dcaf98,12,False,"[(131, 120)]",518,530,108,111,518,131,251,251,131,251,131,251,131,251,131,251,131,251,131,251,131,251,131,251,131,251,131,251,131,251.0,131.0,251.0,131.0,251.0,131.0,251.0,131.0,1.0,1.0
d79bca47-7142-4532-81c1-c3e850dcaf98,12,False,"[(120, 131)]",530,518,111,108,530,120,251,251,120,251,120,251,120,251,120,251,120,251,120,251,120,251,120,251,120,251,120,251,120,251.0,120.0,251.0,120.0,251.0,120.0,251.0,120.0,1.0,1.0
0d64a449-f1d0-4cda-8e3d-0f067c8e15d3,1,False,"[(78, 55)]",200,188,47,44,200,69,127,133,78,133,78,133,78,133,78,133,78,133,78,133,78,133,78,133,78,133,78,133,78,133.0,78.0,133.0,78.0,133.0,78.0,133.0,78.0,1.047244094488189,1.047244094488189
0d64a449-f1d0-4cda-8e3d-0f067c8e15d3,1,False,"[(55, 78)]",188,200,44,47,188,58,127,133,55,133,55,133,55,133,55,133,55,133,55,133,55,133,55,133,55,133,55,133,55,133.0,55.0,133.0,55.0,133.0,55.0,133.0,55.0,1.047244094488189,1.047244094488189
413c89e9-e7f1-42dd-883a-006236ec1dd4,23,False,"[(72, 61), (51, 62)]",210,210,42,39,210,51,113,113,51,113,51,113,51,113,51,133,72,113,51,113,51,113,51,113,51,133,72,113,51,113.96710000000002,52.0155,123.0,61.5,113.0,51.0,113.0,51.0,1.176991150442478,1.0
413c89e9-e7f1-42dd-883a-006236ec1dd4,23,False,"[(61, 72), (62, 51)]",210,210,39,42,210,62,113,113,62,113,62,113,62,113,62,133,61,113,62,113,62,113,62,113,62,133,61,113,62,113.96710000000002,61.95160000000001,123.0,61.5,113.0,62.0,113.0,62.0,1.176991150442478,1.0
d94ea583-4fce-489e-9856-528e2e107b69,11,False,"[(47, 58), (56, 45)]",200,166,38,31,200,56,101,101,56,101,56,101,56,101,56,105,47,101,56,101,56,101,56,101,56,105,47,101,56,102.41520000000003,52.815799999999996,101.0,56.0,101.0,56.0,101.0,56.0,1.0396039603960396,1.0
d94ea583-4fce-489e-9856-528e2e107b69,11,False,"[(58, 47), (45, 56)]",166,200,31,38,166,45,101,101,45,101,45,101,45,101,45,105,58,101,45,101,45,101,45,101,45,105,58,101,45,102.41520000000003,49.5994,101.0,45.0,101.0,45.0,101.0,45.0,1.0396039603960396,1.0
afb22c8f-f7c1-41fb-9e0a-33c8b90a0995,22,False,"[(186, 175), (194, 171)]",662,662,162,162,662,185,359,365,194,361,186,361,186,361,186,361,186,361,186,361,186,361,186,361,186,365,194,361,186,362.30590000000007,188.61180000000002,361.0,186.0,361.0,186.0,361.0,186.0,1.0167130919220055,1.0055710306406684
afb22c8f-f7c1-41fb-9e0a-33c8b90a0995,22,False,"[(175, 186), (171, 194)]",662,662,162,162,662,174,359,365,171,361,175,361,175,361,175,361,175,361,175,361,175,361,175,361,175,365,171,361,175,362.30590000000007,173.6941,361.0,175.0,361.0,175.0,361.0,175.0,1.0167130919220055,1.0055710306406684
bfa0055f-3983-4072-b6e0-135589c6aae7,11,False,"[(48, 59), (57, 46)]",210,188,39,35,210,57,103,103,57,103,57,103,57,103,57,107,48,103,57,103,57,103,57,103,57,107,48,103,57,104.51070000000004,53.6011,103.0,57.0,103.0,57.0,103.0,57.0,1.0388349514563107,1.0
bfa0055f-3983-4072-b6e0-135589c6aae7,11,False,"[(59, 48), (46, 57)]",188,210,35,39,188,46,103,103,46,103,46,103,46,103,46,107,59,103,46,103,46,103,46,103,46,107,59,103,46,104.51070000000004,50.90960000000001,103.0,46.0,103.0,46.0,103.0,46.0,1.0388349514563107,1.0
0733264d-4950-438e-94d6-69a6dea64625,11,False,"[(97, 108)]",408,408,88,88,408,97,205,205,97,205,97,205,97,205,97,205,97,205,97,205,97,205,97,205,97,205,97,205,97,205.0,97.0,205.0,97.0,205.0,97.0,205.0,97.0,1.0,1.0
0733264d-4950-438e-94d6-69a6dea64625,11,False,"[(108, 97)]",408,408,88,88,408,108,205,205,108,205,108,205,108,205,108,205,108,205,108,205,108,205,108,205,108,205,108,205,108,205.0,108.0,205.0,108.0,205.0,108.0,205.0,108.0,1.0,1.0
0355e6a2-79ea-43c9-9bae-6f171fa22cd2,0,False,"[(67, 56), (54, 65), (50, 73)]",210,244,39,46,210,53,117,123,50,119,54,119,54,119,54,123,67,123,50,119,54,119,54,119,54,123,67,119,54,119.70859999999999,56.30279999999999,123.0,50.0,119.00009999999997,54.0001,119.0,54.0,1.0512820512820513,1.017094017094017
0355e6a2-79ea-43c9-9bae-6f171fa22cd2,0,False,"[(56, 67), (65, 54), (73, 50)]",244,210,46,39,244,64,117,123,73,119,65,119,65,119,65,123,56,123,73,119,65,119,65,119,65,123,56,119,65,119.70859999999999,63.4058,123.0,73.0,119.00009999999997,65.0,119.0,65.0,1.0512820512820513,1.017094017094017
bb82fc95-0ac0-46ef-a940-1bc40fab917f,1,False,"[(76, 65), (66, 77), (62, 85)]",232,254,51,56,232,65,141,147,62,141,76,141,76,141,76,141,76,147,62,143,66,141,76,141,76,147,62,141,76,142.34659999999997,69.2672,146.66660000000002,62.33330000000001,141.14999999999998,75.24969999999999,141.0,76.0,1.0425531914893618,1.0
bb82fc95-0ac0-46ef-a940-1bc40fab917f,1,False,"[(65, 76), (77, 66), (85, 62)]",254,232,56,51,254,76,141,147,85,141,65,141,65,141,65,141,65,147,85,143,77,141,65,141,65,147,85,141,65,142.34659999999997,73.07939999999999,146.66660000000002,84.33330000000001,141.14999999999998,65.90029999999999,141.0,65.0,1.0425531914893618,1.0
8fcb78f2-27f9-4859-92be-9163de8de8ae,1,False,"[(114, 125)]",452,486,100,107,452,114,239,239,114,239,114,239,114,239,114,239,114,239,114,239,114,239,114,239,114,239,114,239,114,239.0,114.0,239.0,114.0,239.0,114.0,239.0,114.0,1.0,1.0
8fcb78f2-27f9-4859-92be-9163de8de8ae,1,False,"[(125, 114)]",486,452,107,100,486,125,239,239,125,239,125,239,125,239,125,239,125,239,125,239,125,239,125,239,125,239,125,239,125,239.0,125.0,239.0,125.0,239.0,125.0,239.0,125.0,1.0,1.0
e8188e8d-a5a2-45bf-ba42-5b094195cf86,22,False,"[(77, 154), (134, 101)]",298,288,63,74,298,77,231,231,77,235,134,231,77,231,77,235,134,235,134,235,134,231,77,235,134,231,77,231,77,233.0942,106.84270000000001,234.16359999999997,122.08179999999999,233.69780000000003,115.4434,231.0,77.0,1.0173160173160174,1.0
