eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,PoA,PoS
cb25b397-daab-46ab-97d1-b269d1f0964c,22,False,"[(146, 169), (167, 156)]",200,200,141,142,200,146,315,315,146,323,167,315,146,315,146,323,167,323,167,323,167,315,146,315,146,323,167,315,146,315.74760000000003,147.9625,320.41179999999997,160.20589999999999,315.0,146.0,318.4539,155.0664,1.0253968253968253,1.0
cb25b397-daab-46ab-97d1-b269d1f0964c,22,False,"[(169, 146), (156, 167)]",200,200,142,141,200,169,315,315,169,323,156,315,169,315,169,323,156,323,156,323,156,315,169,315,169,323,156,315,169,315.74760000000003,167.7851,320.41179999999997,160.20589999999999,315.0,169.0,318.4539,163.3875,1.0253968253968253,1.0
e058daa8-4092-457b-bba3-ea2a39205980,11,True,"[(205, 228)]",232,232,196,205,232,205,433,433,205,433,205,433,205,433,205,433,205,433,205,433,205,433,205,433,205,433,205,433,205,433.0,205.0,433.0,205.0,433.0,205.0,433.0,205.0,1.0,1.0
e058daa8-4092-457b-bba3-ea2a39205980,11,True,"[(228, 205)]",232,232,205,196,232,228,433,433,228,433,228,433,228,433,228,433,228,433,228,433,228,433,228,433,228,433,228,433,228,433.0,228.0,433.0,228.0,433.0,228.0,433.0,228.0,1.0,1.0
cd94abc5-c8d4-4a74-a981-9ac618cd747e,22,False,"[(155, 178)]",244,244,146,163,244,155,333,333,155,333,155,333,155,333,155,333,155,333,155,333,155,333,155,333,155,333,155,333,155,333.0,155.0,333.0,155.0,333.0,155.0,333.0,155.0,1.0,1.0
cd94abc5-c8d4-4a74-a981-9ac618cd747e,22,False,"[(178, 155)]",244,244,163,146,244,178,333,333,178,333,178,333,178,333,178,333,178,333,178,333,178,333,178,333,178,333,178,333,178,333.0,178.0,333.0,178.0,333.0,178.0,333.0,178.0,1.0,1.0
990705ec-ca9b-4f2f-a9d4-65ae578def17,1,False,"[(250, 227)]",354,342,246,216,354,250,477,477,250,477,250,477,250,477,250,477,250,477,250,477,250,477,250,477,250,477,250,477,250,477.0,250.0,477.0,250.0,477.0,250.0,477.0,250.0,1.0,1.0
990705ec-ca9b-4f2f-a9d4-65ae578def17,1,False,"[(227, 250)]",342,354,216,246,342,227,477,477,227,477,227,477,227,477,227,477,227,477,227,477,227,477,227,477,227,477,227,477,227,477.0,227.0,477.0,227.0,477.0,227.0,477.0,227.0,1.0,1.0
1d809647-bf3c-4a43-953c-31eb114ae7dc,0,False,"[(179, 224)]",210,278,156,198,210,183,399,403,179,403,179,403,179,403,179,403,179,403,179,403,179,403,179,403,179,403,179,403,179,403.0,179.0,403.0,179.0,403.0,179.0,403.0,179.0,1.0100250626566416,1.0100250626566416
1d809647-bf3c-4a43-953c-31eb114ae7dc,0,False,"[(224, 179)]",278,210,198,156,278,216,399,403,224,403,224,403,224,403,224,403,224,403,224,403,224,403,224,403,224,403,224,403,224,403.0,224.0,403.0,224.0,403.0,224.0,403.0,224.0,1.0100250626566416,1.0100250626566416
e7cf3e82-7396-4758-9fce-312f6d8a6899,22,False,"[(161, 172)]",210,244,138,145,210,177,331,333,161,333,161,333,161,333,161,333,161,333,161,333,161,333,161,333,161,333,161,333,161,333.0,161.0,333.0,161.0,333.0,161.0,333.0,161.0,1.0060422960725075,1.0060422960725075
e7cf3e82-7396-4758-9fce-312f6d8a6899,22,False,"[(172, 161)]",244,210,145,138,244,154,331,333,172,333,172,333,172,333,172,333,172,333,172,333,172,333,172,333,172,333,172,333,172,333.0,172.0,333.0,172.0,333.0,172.0,333.0,172.0,1.0060422960725075,1.0060422960725075
747670be-c7b9-4726-824a-00846f11208f,0,False,"[(163, 140)]",190,144,163,117,190,163,303,303,163,303,163,303,163,303,163,303,163,303,163,303,163,303,163,303,163,303,163,303,163,303.0,163.0,303.0,163.0,303.0,163.0,303.0,163.0,1.0,1.0
747670be-c7b9-4726-824a-00846f11208f,0,False,"[(140, 163)]",144,190,117,163,144,140,303,303,140,303,140,303,140,303,140,303,140,303,140,303,140,303,140,303,140,303,140,303,140,303.0,140.0,303.0,140.0,303.0,140.0,303.0,140.0,1.0,1.0
36bc6deb-9d4e-434f-a32c-82f9d91ee1c1,0,True,"[(145, 122)]",190,144,136,99,190,136,261,267,145,267,145,267,145,267,145,267,145,267,145,267,145,267,145,267,145,267,145,267,145,267.0,145.0,267.0,145.0,267.0,145.0,267.0,145.0,1.0229885057471264,1.0229885057471264
36bc6deb-9d4e-434f-a32c-82f9d91ee1c1,0,True,"[(122, 145)]",144,190,99,136,144,125,261,267,122,267,122,267,122,267,122,267,122,267,122,267,122,267,122,267,122,267,122,267,122,267.0,122.0,267.0,122.0,267.0,122.0,267.0,122.0,1.0229885057471264,1.0229885057471264
afeadfda-dc54-4397-8a8e-9aac362b9e33,23,True,"[(206, 183)]",210,210,183,183,210,206,389,389,206,389,206,389,206,389,206,389,206,389,206,389,206,389,206,389,206,389,206,389,206,389.0,206.0,389.0,206.0,389.0,206.0,389.0,206.0,1.0,1.0
afeadfda-dc54-4397-8a8e-9aac362b9e33,23,True,"[(183, 206)]",210,210,183,183,210,183,389,389,183,389,183,389,183,389,183,389,183,389,183,389,183,389,183,389,183,389,183,389,183,389.0,183.0,389.0,183.0,389.0,183.0,389.0,183.0,1.0,1.0
6a79879f-7e0c-4e23-97da-de4b531f4b87,23,True,"[(220, 175)]",232,188,202,152,232,220,395,395,220,395,220,395,220,395,220,395,220,395,220,395,220,395,220,395,220,395,220,395,220,395.0,220.0,395.0,220.0,395.0,220.0,395.0,220.0,1.0,1.0
6a79879f-7e0c-4e23-97da-de4b531f4b87,23,True,"[(175, 220)]",188,232,152,202,188,175,395,395,175,395,175,395,175,395,175,395,175,395,175,395,175,395,175,395,175,395,175,395,175,395.0,175.0,395.0,175.0,395.0,175.0,395.0,175.0,1.0,1.0
