eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Nash,Individual Time In Nash,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,PoA,PoS
2931950a-ee75-4c90-a843-00bd5e8458db,22,False,"[(146, 157), (169, 146), (161, 150)]",200,200,120,141,200,143,297,303,146,303,146,303,146,303,146,303,146,303,146,303,146,303,146,303,146,315,169,303,146,306.8824,153.4412,303.0001,146.0001,306.8824,153.4412,303.0,146.0,1.0606060606060606,1.02020202020202
2931950a-ee75-4c90-a843-00bd5e8458db,22,False,"[(157, 146), (146, 169), (150, 161)]",200,200,141,120,200,154,297,303,157,303,157,303,157,303,157,303,157,303,157,303,157,303,157,303,157,315,146,303,157,306.8824,153.4412,303.0001,157.0,306.8824,153.4412,303.0,157.0,1.0606060606060606,1.02020202020202
cc921160-9379-41f8-bd66-c3e2437ec030,1,False,"[(174, 151)]",244,232,163,142,244,174,325,325,174,325,174,325,174,325,174,325,174,325,174,325,174,325,174,325,174,325,174,325,174,325.0,174.0,325.0,174.0,325.0,174.0,325.0,174.0,1.0,1.0
cc921160-9379-41f8-bd66-c3e2437ec030,1,False,"[(151, 174)]",232,244,142,163,232,151,325,325,151,325,151,325,151,325,151,325,151,325,151,325,151,325,151,325,151,325,151,325,151,325.0,151.0,325.0,151.0,325.0,151.0,325.0,151.0,1.0,1.0
1bbbac6f-9909-47b5-b08b-21e8c5b36cf5,22,True,"[(164, 175)]",200,188,146,143,200,164,339,339,164,339,164,339,164,339,164,339,164,339,164,339,164,339,164,339,164,339,164,339,164,339.0,164.0,339.0,164.0,339.0,164.0,339.0,164.0,1.0,1.0
1bbbac6f-9909-47b5-b08b-21e8c5b36cf5,22,True,"[(175, 164)]",188,200,143,146,188,175,339,339,175,339,175,339,175,339,175,339,175,339,175,339,175,339,175,339,175,339,175,339,175,339.0,175.0,339.0,175.0,339.0,175.0,339.0,175.0,1.0,1.0
ce86194a-2f5d-4804-a105-c8ff66891c77,0,False,"[(230, 253)]",298,344,216,244,298,230,483,483,230,483,230,483,230,483,230,483,230,483,230,483,230,483,230,483,230,483,230,483,230,483.0,230.0,483.0,230.0,483.0,230.0,483.0,230.0,1.0,1.0
ce86194a-2f5d-4804-a105-c8ff66891c77,0,False,"[(253, 230)]",344,298,244,216,344,253,483,483,253,483,253,483,253,483,253,483,253,483,253,483,253,483,253,483,253,483,253,483,253,483.0,253.0,483.0,253.0,483.0,253.0,483.0,253.0,1.0,1.0
3d9652f9-7156-4c2c-b718-404284b75d9d,0,False,"[(368, 391)]",584,630,345,373,584,371,753,759,368,759,368,759,368,759,368,759,368,759,368,759,368,759,368,759,368,759,368,759,368,759.0,368.0,759.0,368.0,759.0,368.0,759.0,368.0,1.0079681274900398,1.0079681274900398
3d9652f9-7156-4c2c-b718-404284b75d9d,0,False,"[(391, 368)]",630,584,373,345,630,382,753,759,391,759,391,759,391,759,391,759,391,759,391,759,391,759,391,759,391,759,391,759,391,759.0,391.0,759.0,391.0,759.0,391.0,759.0,391.0,1.0079681274900398,1.0079681274900398
f202a58b-18af-403b-979e-b80f4a352ae0,22,False,"[(146, 157)]",200,188,146,134,200,146,303,303,146,303,146,303,146,303,146,303,146,303,146,303,146,303,146,303,146,303,146,303,146,303.0,146.0,303.0,146.0,303.0,146.0,303.0,146.0,1.0,1.0
