eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Utilitarian,Individual Time In Utilitarian,Egalitarian,Individual Time In Egalitarian,PoA,PoS
df40a93d-88db-46fe-98a6-f0a3c0188400,0,True,"[(574, 342)]",574,342,307,175,574,375,739,916,574,916,574,916,574,916,574,916,574,916,574,916,574,916,574,916,574,916,574,916,574,916.0,574.0,916.0,574.0,916.0,574.0,916.0,574.0,1.239512855209743,1.239512855209743
df40a93d-88db-46fe-98a6-f0a3c0188400,0,True,"[(342, 574)]",342,574,175,307,342,364,739,916,342,916,342,916,342,916,342,916,342,916,342,916,342,916,342,916,342,916,342,916,342,916.0,342.0,916.0,342.0,916.0,342.0,916.0,342.0,1.239512855209743,1.239512855209743
1bfc49ee-5853-4620-acdd-42b9b177e779,22,False,"[(104, 81), (83, 94)]",200,166,66,67,200,83,177,185,104,177,83,177,83,177,83,177,83,185,104,185,104,177,83,177,83,185,104,177,83,177.1319,83.3462,180.6806,92.6615,177.0,83.0,185.0,104.0,1.0451977401129944,1.0
1bfc49ee-5853-4620-acdd-42b9b177e779,22,False,"[(81, 104), (94, 83)]",166,200,67,66,166,94,177,185,81,177,94,177,94,177,94,177,94,185,81,185,81,177,94,177,94,185,81,177,94,177.1319,93.7857,180.6806,88.0191,177.0,94.0,185.0,81.0,1.0451977401129944,1.0
bee18ee2-c0e3-4fe9-aa2f-954daa1120a9,0,True,"[(99, 88)]",200,166,81,74,200,99,187,187,99,187,99,187,99,187,99,187,99,187,99,187,99,187,99,187,99,187,99,187,99,187.0,99.0,187.0,99.0,187.0,99.0,187.0,99.0,1.0,1.0
bee18ee2-c0e3-4fe9-aa2f-954daa1120a9,0,True,"[(88, 99)]",166,200,74,81,166,88,187,187,88,187,88,187,88,187,88,187,88,187,88,187,88,187,88,187,88,187,88,187,88,187.0,88.0,187.0,88.0,187.0,88.0,187.0,88.0,1.0,1.0
3d4fcb4f-bc7b-48b4-8dad-78e15af9c19a,11,False,"[(452, 441), (455, 432)]",728,606,434,339,728,455,887,887,455,893,452,887,455,887,455,893,452,887,455,887,455,887,455,887,455,893,452,887,455,887.0,455.0,888.0418999999999,454.479,887.0,455.0,887.0,455.0,1.0067643742953776,1.0
3d4fcb4f-bc7b-48b4-8dad-78e15af9c19a,11,False,"[(441, 452), (432, 455)]",606,728,339,434,606,432,887,887,432,893,441,887,432,887,432,893,441,887,432,887,432,887,432,887,432,893,441,887,432,887.0,432.0,888.0418999999999,433.5629,887.0,432.0,887.0,432.0,1.0067643742953776,1.0
2cbd5373-6ae1-497f-a86f-7bc1f4781c29,22,False,"[(89, 100), (105, 82)]",200,200,66,68,200,97,183,187,105,189,89,187,105,187,105,189,89,189,89,189,89,187,105,187,105,189,89,187,105,187.6181,100.0556,187.9717,97.2265,187.0,105.0,188.353,94.1765,1.0327868852459017,1.0218579234972678
2cbd5373-6ae1-497f-a86f-7bc1f4781c29,22,False,"[(100, 89), (82, 105)]",200,200,68,66,200,86,183,187,82,189,100,187,82,187,82,189,100,189,100,189,100,187,82,187,82,189,100,187,82,187.6181,87.5625,187.9717,90.7452,187.0,82.0,188.353,94.1765,1.0327868852459017,1.0218579234972678
2052096b-9ab9-4857-9424-9ca7991e0082,11,False,"[(84, 95), (88, 77)]",210,210,70,66,210,88,165,165,88,165,88,165,88,165,88,179,84,165,88,165,88,165,88,165,88,179,84,165,88,165.0,88.0,167.65999999999997,87.24,165.0,88.0,172.0,86.0,1.084848484848485,1.0
2052096b-9ab9-4857-9424-9ca7991e0082,11,False,"[(95, 84), (77, 88)]",210,210,66,70,210,77,165,165,77,165,77,165,77,165,77,179,95,165,77,165,77,165,77,165,77,179,95,165,77,165.0,77.0,167.65999999999997,80.41999999999999,165.0,77.0,172.0,86.0,1.084848484848485,1.0
618f6f86-f2e7-4143-ba5d-6eb4ddf5052d,1,False,"[(97, 120)]",232,244,88,91,232,100,211,217,97,217,97,217,97,217,97,217,97,217,97,217,97,217,97,217,97,217,97,217,97,217.0,97.0,217.0,97.0,217.0,97.0,217.0,97.0,1.028436018957346,1.028436018957346
618f6f86-f2e7-4143-ba5d-6eb4ddf5052d,1,False,"[(120, 97)]",244,232,91,88,244,111,211,217,120,217,120,217,120,217,120,217,120,217,120,217,120,217,120,217,120,217,120,217,120,217.0,120.0,217.0,120.0,217.0,120.0,217.0,120.0,1.028436018957346,1.028436018957346
