eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Egalitarian,Individual Time In Egalitarian,Nash,Individual Time In Nash,Utilitarian,Individual Time In Utilitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,PoA,PoS
3b23bd8e-7176-4c56-985d-ad911f785189,11,False,"[(101, 112), (97, 120)]",309,343,74,102,309,100,211,217,97,213,101,213,101,213,101,213,101,217,97,213,101,213,101,213,101,217,97,213,101,217.0,97.0,213.0,101.0,213.0,101.0,214.41070000000002,99.58930000000001,1.028436018957346,1.009478672985782
20978509-0c02-46d3-87f6-e30cebf4250d,12,False,"[(118, 107), (110, 133)]",353,387,98,97,353,118,225,225,118,225,118,225,118,225,118,225,118,243,110,225,118,225,118,225,118,243,110,225,118,243.0,110.0,225.0,118.0,225.0,118.0,229.71140000000003,115.90610000000001,1.08,1.0
20978509-0c02-46d3-87f6-e30cebf4250d,12,False,"[(107, 118), (133, 110)]",387,353,97,98,387,107,225,225,107,225,107,225,107,225,107,225,107,243,133,225,107,225,107,225,107,243,133,225,107,243.0,133.0,225.0,107.0,225.0,107.0,229.71140000000003,113.80529999999999,1.08,1.0
d5651917-77be-4796-bfc5-abe0a8913566,0,False,"[(178, 155), (162, 173), (158, 181)]",441,497,129,137,441,178,333,333,178,335,162,333,178,333,178,335,162,339,158,339,158,335,162,335,162,339,158,333,178,339.0,158.0,335.0,162.0,333.0,178.0,334.2946999999999,167.6422,1.018018018018018,1.0
d5651917-77be-4796-bfc5-abe0a8913566,0,False,"[(155, 178), (173, 162), (181, 158)]",497,441,137,129,497,155,333,333,155,335,173,333,155,333,155,335,173,339,181,339,181,335,173,335,173,339,181,333,155,339.0,181.0,335.0,173.0,333.0,155.0,334.2946999999999,166.65249999999997,1.018018018018018,1.0
c6a003f5-d755-459a-859f-e162e417ec9d,0,False,"[(143, 120)]",355,287,125,93,355,143,263,263,143,263,143,263,143,263,143,263,143,263,143,263,143,263,143,263,143,263,143,263,143,263.0,143.0,263.0,143.0,263.0,143.0,263.0,143.0,1.0,1.0
c6a003f5-d755-459a-859f-e162e417ec9d,0,False,"[(120, 143)]",287,355,93,125,287,120,263,263,120,263,120,263,120,263,120,263,120,263,120,263,120,263,120,263,120,263,120,263,120,263.0,120.0,263.0,120.0,263.0,120.0,263.0,120.0,1.0,1.0
fdd76766-1b28-454f-9569-944da360a753,11,False,"[(103, 114), (112, 101), (94, 117)]",353,331,83,86,353,97,205,211,94,213,112,211,94,211,94,217,103,213,112,213,112,211,94,213,112,217,103,211,94,213.0,112.0,212.01390000000004,103.1251,211.0,94.0,212.0004,103.0043,1.0585365853658537,1.0292682926829269
fdd76766-1b28-454f-9569-944da360a753,11,False,"[(114, 103), (101, 112), (117, 94)]",331,353,86,83,331,108,205,211,117,213,101,211,117,211,117,217,114,213,101,213,101,211,117,213,101,217,114,211,117,213.0,101.0,212.01390000000004,108.8888,211.0,117.0,212.0004,108.99610000000001,1.0585365853658537,1.0292682926829269
89fab519-8eac-4a98-96d3-1c7bfe7f0b18,22,False,"[(426, 437)]",1487,1475,415,418,1487,426,863,863,426,863,426,863,426,863,426,863,426,863,426,863,426,863,426,863,426,863,426,863,426,863.0,426.0,863.0,426.0,863.0,426.0,863.0,426.0,1.0,1.0
89fab519-8eac-4a98-96d3-1c7bfe7f0b18,22,False,"[(437, 426)]",1475,1487,418,415,1475,437,863,863,437,863,437,863,437,863,437,863,437,863,437,863,437,863,437,863,437,863,437,863,437,863.0,437.0,863.0,437.0,863.0,437.0,863.0,437.0,1.0,1.0
1059c6af-dea1-4c6c-9e27-711c5fe47904,22,False,"[(133, 110), (107, 118)]",343,309,95,95,343,107,225,225,107,225,107,225,107,225,107,225,107,243,133,225,107,225,107,225,107,243,133,225,107,243.0,133.0,225.0,107.0,225.0,107.0,229.81219999999996,113.951,1.08,1.0
1059c6af-dea1-4c6c-9e27-711c5fe47904,22,False,"[(110, 133), (118, 107)]",309,343,95,95,309,118,225,225,118,225,118,225,118,225,118,225,118,243,110,225,118,225,118,225,118,243,110,225,118,243.0,110.0,225.0,118.0,225.0,118.0,229.81219999999996,115.8612,1.08,1.0
2925b1de-aef8-4e04-813b-5f1562291632,22,False,"[(118, 107), (100, 111)]",353,365,83,91,353,100,211,211,100,211,100,211,100,211,100,225,118,211,100,211,100,211,100,211,100,225,118,211,100,211.0,100.0,211.0,100.0,211.0,100.0,213.505,103.2207,1.066350710900474,1.0
2925b1de-aef8-4e04-813b-5f1562291632,22,False,"[(107, 118), (111, 100)]",365,353,91,83,365,111,211,211,111,211,111,211,111,211,111,225,107,211,111,211,111,211,111,211,111,225,107,211,111,211.0,111.0,211.0,111.0,211.0,111.0,213.505,110.2843,1.066350710900474,1.0
d10b7947-8232-4f99-b797-e9b3a8bf7452,1,False,"[(190, 167)]",431,419,151,143,431,181,351,357,190,357,190,357,190,357,190,357,190,357,190,357,190,357,190,357,190,357,190,357,190,357.0,190.0,357.0,190.0,357.0,190.0,357.0,190.0,1.017094017094017,1.017094017094017
d10b7947-8232-4f99-b797-e9b3a8bf7452,1,False,"[(167, 190)]",419,431,143,151,419,170,351,357,167,357,167,357,167,357,167,357,167,357,167,357,167,357,167,357,167,357,167,357,167,357.0,167.0,357.0,167.0,357.0,167.0,357.0,167.0,1.017094017094017,1.017094017094017
e97fb3f5-669e-48b8-b0b1-98d434561769,22,False,"[(115, 104)]",343,309,95,83,343,115,219,219,115,219,115,219,115,219,115,219,115,219,115,219,115,219,115,219,115,219,115,219,115,219.0,115.0,219.0,115.0,219.0,115.0,219.0,115.0,1.0,1.0
e97fb3f5-669e-48b8-b0b1-98d434561769,22,False,"[(104, 115)]",309,343,83,95,309,104,219,219,104,219,104,219,104,219,104,219,104,219,104,219,104,219,104,219,104,219,104,219,104,219.0,104.0,219.0,104.0,219.0,104.0,219.0,104.0,1.0,1.0
c6fc2e77-4330-47bb-9a2b-4ea7a19aa0a6,22,False,"[(323, 312)]",1289,1277,314,298,1289,323,635,635,323,635,323,635,323,635,323,635,323,635,323,635,323,635,323,635,323,635,323,635,323,635.0,323.0,635.0,323.0,635.0,323.0,635.0,323.0,1.0,1.0
c6fc2e77-4330-47bb-9a2b-4ea7a19aa0a6,22,False,"[(312, 323)]",1277,1289,298,314,1277,312,635,635,312,635,312,635,312,635,312,635,312,635,312,635,312,635,312,635,312,635,312,635,312,635.0,312.0,635.0,312.0,635.0,312.0,635.0,312.0,1.0,1.0
4937a54b-d419-4920-afbf-34bcdabf11e8,1,False,"[(97, 120), (114, 103), (101, 112)]",353,365,88,88,353,100,211,217,97,213,101,213,101,213,101,217,114,213,101,213,101,213,101,213,101,217,114,213,101,213.33339999999998,100.66669999999999,213.0,101.0,213.0,101.0,213.8798,103.8595,1.028436018957346,1.009478672985782
4937a54b-d419-4920-afbf-34bcdabf11e8,1,False,"[(120, 97), (103, 114), (112, 101)]",365,353,88,88,365,111,211,217,120,213,112,213,112,213,112,217,103,213,112,213,112,213,112,213,112,217,103,213,112,213.33339999999998,112.66669999999999,213.0,112.0,213.0,112.0,213.8798,110.02029999999999,1.028436018957346,1.009478672985782
cb0c5c05-90c6-49a0-839f-b48eee047864,11,False,"[(104, 93), (95, 106)]",353,353,91,77,353,104,197,197,104,197,104,197,104,197,104,197,104,197,104,197,104,197,104,197,104,201,95,197,104,199.0,99.5,197.0,104.0,197.0,104.0,198.64390000000003,100.3014,1.0203045685279188,1.0
cb0c5c05-90c6-49a0-839f-b48eee047864,11,False,"[(93, 104), (106, 95)]",353,353,77,91,353,93,197,197,93,197,93,197,93,197,93,197,93,197,93,197,93,197,93,197,93,201,106,197,93,199.0,99.5,197.0,93.0,197.0,93.0,198.64390000000003,98.3425,1.0203045685279188,1.0
54933f99-c4fb-478b-92f7-849484f191cb,1,False,"[(121, 132), (112, 135)]",419,453,95,106,419,115,241,247,112,253,121,247,112,247,112,253,121,247,112,253,121,247,112,247,112,253,121,247,112,247.0,112.0,247.0,112.0,247.0,112.0,248.45039999999995,114.17559999999997,1.049792531120332,1.0248962655601659
54933f99-c4fb-478b-92f7-849484f191cb,1,False,"[(132, 121), (135, 112)]",453,419,106,95,453,126,241,247,135,253,132,247,135,247,135,253,132,247,135,253,132,247,135,247,135,253,132,247,135,247.0,135.0,247.0,135.0,247.0,135.0,248.45039999999995,134.27480000000003,1.049792531120332,1.0248962655601659
dc1f40e7-0e81-426b-b8ad-d3db1a5eab9b,22,False,"[(1688, 313)]",1751,353,489,92,1751,1688,2001,2001,1688,2001,1688,2001,1688,2001,1688,2001,1688,2001,1688,2001,1688,2001,1688,2001,1688,2001,1688,2001,1688,2001.0,1688.0,2001.0,1688.0,2001.0,1688.0,2001.0,1688.0,1.0,1.0
dc1f40e7-0e81-426b-b8ad-d3db1a5eab9b,22,False,"[(313, 1688)]",353,1751,92,489,353,313,2001,2001,313,2001,313,2001,313,2001,313,2001,313,2001,313,2001,313,2001,313,2001,313,2001,313,2001,313,2001.0,313.0,2001.0,313.0,2001.0,313.0,2001.0,313.0,1.0,1.0
aa120c42-62ac-4a7f-852d-8467ea09e2c5,11,False,"[(115, 104)]",375,375,95,102,375,115,219,219,115,219,115,219,115,219,115,219,115,219,115,219,115,219,115,219,115,219,115,219,115,219.0,115.0,219.0,115.0,219.0,115.0,219.0,115.0,1.0,1.0
aa120c42-62ac-4a7f-852d-8467ea09e2c5,11,False,"[(104, 115)]",375,375,102,95,375,104,219,219,104,219,104,219,104,219,104,219,104,219,104,219,104,219,104,219,104,219,104,219,104,219.0,104.0,219.0,104.0,219.0,104.0,219.0,104.0,1.0,1.0
bcd4f2eb-ada9-443b-bba1-0c646b31c211,22,False,"[(104, 93)]",343,309,86,79,343,104,197,197,104,197,104,197,104,197,104,197,104,197,104,197,104,197,104,197,104,197,104,197,104,197.0,104.0,197.0,104.0,197.0,104.0,197.0,104.0,1.0,1.0
bcd4f2eb-ada9-443b-bba1-0c646b31c211,22,False,"[(93, 104)]",309,343,79,86,309,93,197,197,93,197,93,197,93,197,93,197,93,197,93,197,93,197,93,197,93,197,93,197,93,197.0,93.0,197.0,93.0,197.0,93.0,197.0,93.0,1.0,1.0
7b3eb757-9baa-4c92-92d4-06bacb3c8aa3,0,False,"[(99, 76), (95, 84)]",333,287,72,62,333,90,169,175,99,179,95,175,99,175,99,179,95,175,99,179,95,175,99,175,99,179,95,175,99,175.0,99.0,175.0,99.0,175.0,99.0,176.22860000000003,97.7715,1.0591715976331362,1.0355029585798816
7b3eb757-9baa-4c92-92d4-06bacb3c8aa3,0,False,"[(76, 99), (84, 95)]",287,333,62,72,287,79,169,175,76,179,84,175,76,175,76,179,84,175,76,179,84,175,76,175,76,179,84,175,76,175.0,76.0,175.0,76.0,175.0,76.0,176.22860000000003,78.4571,1.0591715976331362,1.0355029585798816
1eace1e0-48f0-4093-9559-82a8a311f17a,11,False,"[(405, 428), (410, 399)]",1607,1607,388,388,1607,410,809,809,410,809,410,809,410,809,410,809,410,809,410,809,410,809,410,809,410,833,405,809,410,816.7647999999999,408.38239999999996,809.0,410.0,809.0,410.0,812.5445,409.26160000000004,1.0296662546353523,1.0
1eace1e0-48f0-4093-9559-82a8a311f17a,11,False,"[(428, 405), (399, 410)]",1607,1607,388,388,1607,399,809,809,399,809,399,809,399,809,399,809,399,809,399,809,399,809,399,809,399,833,428,809,399,816.7647999999999,408.38239999999996,809.0,399.0,809.0,399.0,812.5445,403.2828999999999,1.0296662546353523,1.0
de671e92-3811-45eb-80c2-7be67beabf77,1,False,"[(159, 136)]",409,397,130,127,409,150,289,295,159,295,159,295,159,295,159,295,159,295,159,295,159,295,159,295,159,295,159,295,159,295.0,159.0,295.0,159.0,295.0,159.0,295.0,159.0,1.0207612456747406,1.0207612456747406
de671e92-3811-45eb-80c2-7be67beabf77,1,False,"[(136, 159)]",397,409,127,130,397,139,289,295,136,295,136,295,136,295,136,295,136,295,136,295,136,295,136,295,136,295,136,295,136,295.0,136.0,295.0,136.0,295.0,136.0,295.0,136.0,1.0207612456747406,1.0207612456747406
0e12ad46-f5f8-4638-9ffa-e50e1e3972fc,22,False,"[(101, 112), (114, 91)]",343,343,82,82,343,105,199,205,114,213,101,205,114,205,114,213,101,213,101,213,101,205,114,205,114,213,101,205,114,210.41180000000003,105.20590000000001,205.0,114.0,205.0,114.0,208.13570000000004,108.90450000000001,1.07035175879397,1.0301507537688441
