eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Egalitarian,Individual Time In Egalitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Nash,Individual Time In Nash,Utilitarian,Individual Time In Utilitarian,PoA,PoS
39c2288a-6175-495b-b2e8-3e9b6d8dbb1d,22,False,"[(85, 62)]",200,200,67,48,200,76,141,147,85,147,85,147,85,147,85,147,85,147,85,147,85,147,85,147,85,147,85,147,85,147.0,85.0,147.0,85.0,147.0,85.0,147.0,85.0,1.0425531914893618,1.0425531914893618
39c2288a-6175-495b-b2e8-3e9b6d8dbb1d,22,False,"[(62, 85)]",200,200,48,67,200,65,141,147,62,147,62,147,62,147,62,147,62,147,62,147,62,147,62,147,62,147,62,147,62,147.0,62.0,147.0,62.0,147.0,62.0,147.0,62.0,1.0425531914893618,1.0425531914893618
fd7995ef-97ca-4237-aae0-44ea727a8b05,0,False,"[(332, 355)]",1156,1202,318,337,1156,335,681,687,332,687,332,687,332,687,332,687,332,687,332,687,332,687,332,687,332,687,332,687,332,687.0,332.0,687.0,332.0,687.0,332.0,687.0,332.0,1.0088105726872247,1.0088105726872247
fd7995ef-97ca-4237-aae0-44ea727a8b05,0,False,"[(355, 332)]",1202,1156,337,318,1202,346,681,687,355,687,355,687,355,687,355,687,355,687,355,687,355,687,355,687,355,687,355,687,355,687.0,355.0,687.0,355.0,687.0,355.0,687.0,355.0,1.0088105726872247,1.0088105726872247
5080c020-f9ef-436f-8ffa-669b113d62a4,1,False,"[(123, 100)]",222,210,78,82,222,114,217,223,123,223,123,223,123,223,123,223,123,223,123,223,123,223,123,223,123,223,123,223,123,223.0,123.0,223.0,123.0,223.0,123.0,223.0,123.0,1.0276497695852536,1.0276497695852536
5080c020-f9ef-436f-8ffa-669b113d62a4,1,False,"[(100, 123)]",210,222,82,78,210,103,217,223,100,223,100,223,100,223,100,223,100,223,100,223,100,223,100,223,100,223,100,223,100,223.0,100.0,223.0,100.0,223.0,100.0,223.0,100.0,1.0276497695852536,1.0276497695852536
d1f78fcf-71be-479d-a3b3-0c7f9f9fa825,33,True,"[(166, 287), (165, 308), (148, 369), (152, 361)]",232,386,65,143,232,166,453,517,148,453,166,453,166,453,166,453,166,473,165,453,166,453,166,453,166,517,148,453,166,474.12,160.06,466.1543,162.3003,453.0,166.0,453.0,166.0,1.141280353200883,1.0
d1f78fcf-71be-479d-a3b3-0c7f9f9fa825,33,True,"[(287, 166), (308, 165), (369, 148), (361, 152)]",386,232,143,65,386,287,453,517,369,453,287,453,287,453,287,453,287,473,308,453,287,453,287,453,287,517,369,453,287,474.12,314.06,466.1543,303.854,453.0,287.0,453.0,287.0,1.141280353200883,1.0
ca511934-7e09-41ce-987a-d637d89bbc56,0,False,"[(90, 79), (57, 80)]",210,256,43,62,210,60,131,137,57,137,57,137,57,137,57,169,90,137,57,137,57,137,57,137,57,169,90,137,57,137.0,57.0,137.8168,57.842299999999994,137.0,57.0,137.0,57.0,1.2900763358778626,1.0458015267175573
ca511934-7e09-41ce-987a-d637d89bbc56,0,False,"[(79, 90), (80, 57)]",256,210,62,43,256,71,131,137,80,137,80,137,80,137,80,169,79,137,80,137,80,137,80,137,80,169,79,137,80,137.0,80.0,137.8168,79.9745,137.0,80.0,137.0,80.0,1.2900763358778626,1.0458015267175573
e51a5081-3203-4a9a-9d65-f3a4a2279a5d,0,False,"[(77, 66), (68, 79)]",190,144,59,52,190,77,143,143,77,143,77,143,77,143,77,143,77,143,77,143,77,143,77,143,77,147,68,143,77,143.0,77.0,144.2272,74.2386,143.0,77.0,143.0,77.0,1.027972027972028,1.0
e51a5081-3203-4a9a-9d65-f3a4a2279a5d,0,False,"[(66, 77), (79, 68)]",144,190,52,59,144,66,143,143,66,143,66,143,66,143,66,143,66,143,66,143,66,143,66,143,66,147,79,143,66,143.0,66.0,144.2272,69.9886,143.0,66.0,143.0,66.0,1.027972027972028,1.0
db493b4b-b0e2-4b5c-a997-a79f85fe22e8,22,False,"[(60, 71)]",222,210,51,52,222,60,131,131,60,131,60,131,60,131,60,131,60,131,60,131,60,131,60,131,60,131,60,131,60,131.0,60.0,131.0,60.0,131.0,60.0,131.0,60.0,1.0,1.0
db493b4b-b0e2-4b5c-a997-a79f85fe22e8,22,False,"[(71, 60)]",210,222,52,51,210,71,131,131,71,131,71,131,71,131,71,131,71,131,71,131,71,131,71,131,71,131,71,131,71,131.0,71.0,131.0,71.0,131.0,71.0,131.0,71.0,1.0,1.0
965c2062-c203-4663-b2d6-a72b19a14740,45,False,"[(152, 119), (156, 111)]",288,310,85,93,288,147,261,267,156,271,152,267,156,267,156,271,152,271,152,271,152,267,156,267,156,271,152,267,156,271.0,152.0,268.69,154.31,267.0,156.0,267.0,156.0,1.0383141762452108,1.0229885057471264
965c2062-c203-4663-b2d6-a72b19a14740,45,False,"[(119, 152), (111, 156)]",310,288,93,85,310,114,261,267,111,271,119,267,111,267,111,271,119,271,119,271,119,267,111,267,111,271,119,267,111,271.0,119.0,268.69,114.38,267.0,111.0,267.0,111.0,1.0383141762452108,1.0229885057471264
086b4ed6-d519-4e4f-b1ed-491750583af5,11,False,"[(106, 95)]",298,298,86,89,298,106,201,201,106,201,106,201,106,201,106,201,106,201,106,201,106,201,106,201,106,201,106,201,106,201.0,106.0,201.0,106.0,201.0,106.0,201.0,106.0,1.0,1.0
086b4ed6-d519-4e4f-b1ed-491750583af5,11,False,"[(95, 106)]",298,298,89,86,298,95,201,201,95,201,95,201,95,201,95,201,95,201,95,201,95,201,95,201,95,201,95,201,95,201.0,95.0,201.0,95.0,201.0,95.0,201.0,95.0,1.0,1.0
