eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Utilitarian,Individual Time In Utilitarian,Egalitarian,Individual Time In Egalitarian,PoA,PoS
d3d7b18b-44e6-4791-85d9-a16b4b091afd,0,False,"[(78, 101), (79, 68), (87, 64)]",300,254,58,55,300,78,145,151,87,147,79,147,79,147,79,147,79,151,87,147,79,147,79,147,79,179,78,147,79,147.0,79.0,148.1594,81.31890000000001,147.0,79.0,151.0,87.0,1.2344827586206897,1.013793103448276
d3d7b18b-44e6-4791-85d9-a16b4b091afd,0,False,"[(101, 78), (68, 79), (64, 87)]",254,300,55,58,254,67,145,151,64,147,68,147,68,147,68,147,68,151,64,147,68,147,68,147,68,179,101,147,68,147.0,68.0,148.1594,66.84049999999999,147.0,68.0,151.0,64.0,1.2344827586206897,1.013793103448276
b4e33e3c-8b3f-41bc-9b74-57ab28e12f59,1,False,"[(172, 139), (107, 152)]",386,430,93,116,386,107,259,259,107,259,107,259,107,259,107,311,172,259,107,259,107,259,107,259,107,311,172,259,107,259.0,107.0,267.3668,117.45850000000002,259.0,107.0,259.6666,107.83330000000001,1.2007722007722008,1.0
b4e33e3c-8b3f-41bc-9b74-57ab28e12f59,1,False,"[(139, 172), (152, 107)]",430,386,116,93,430,152,259,259,152,259,152,259,152,259,152,311,139,259,152,259,152,259,152,259,152,311,139,259,152,259.0,152.0,267.3668,149.9083,259.0,152.0,259.6666,151.8333,1.2007722007722008,1.0
8eac9133-662a-48cb-8858-9566f6b95b9c,11,False,"[(182, 115), (145, 178), (170, 137)]",342,342,123,102,342,173,291,297,182,307,170,297,182,297,182,323,145,307,170,307,170,297,182,297,182,323,145,297,182,297.0047,181.9934,307.49379999999996,167.0667,297.0,182.0,314.42,157.21,1.1099656357388317,1.0206185567010309
8eac9133-662a-48cb-8858-9566f6b95b9c,11,False,"[(115, 182), (178, 145), (137, 170)]",342,342,102,123,342,118,291,297,115,307,137,297,115,297,115,323,178,307,137,307,137,297,115,297,115,323,178,297,115,297.0047,115.0113,307.49379999999996,140.4271,297.0,115.0,314.42,157.21,1.1099656357388317,1.0206185567010309
2c8f722b-c60a-4d9e-ad7d-1d4fabdd1ec7,23,False,"[(125, 148), (143, 120)]",320,332,111,111,320,134,257,263,143,263,143,263,143,263,143,273,125,273,125,273,125,263,143,263,143,273,125,263,143,263.0,143.0,267.1139,135.5951,263.0,143.0,270.6086,129.3043,1.0622568093385214,1.0233463035019454
2c8f722b-c60a-4d9e-ad7d-1d4fabdd1ec7,23,False,"[(148, 125), (120, 143)]",332,320,111,111,332,123,257,263,120,263,120,263,120,263,120,273,148,273,148,273,148,263,120,263,120,273,148,263,120,263.0,120.0,267.1139,131.5188,263.0,120.0,270.6086,141.3043,1.0622568093385214,1.0233463035019454
ea26c8f7-2802-4d1b-9501-8eb15aa7537f,11,False,"[(142, 131), (124, 135)]",364,342,97,108,364,124,259,259,124,259,124,259,124,259,124,273,142,273,142,273,142,259,124,259,124,273,142,259,124,259.0,124.0,261.8247,127.6318,259.0,124.0,273.0,142.0,1.054054054054054,1.0
ea26c8f7-2802-4d1b-9501-8eb15aa7537f,11,False,"[(131, 142), (135, 124)]",342,364,108,97,342,135,259,259,135,259,135,259,135,259,135,273,131,273,131,273,131,259,135,259,135,273,131,259,135,259.0,135.0,261.8247,134.1929,259.0,135.0,273.0,131.0,1.054054054054054,1.0
1c3bbef5-f665-4e04-be70-6aea99b9b2c5,22,False,"[(105, 94), (88, 111)]",310,310,77,76,310,91,193,199,88,199,105,199,105,199,105,199,105,199,105,199,105,199,88,199,105,199,88,199,105,199.0,99.5,199.0,96.6164,199.0,88.0,199.0,99.5,1.0310880829015545,1.0310880829015545
1c3bbef5-f665-4e04-be70-6aea99b9b2c5,22,False,"[(94, 105), (111, 88)]",310,310,76,77,310,102,193,199,111,199,94,199,94,199,94,199,94,199,94,199,94,199,111,199,94,199,111,199,94,199.0,99.5,199.0,102.3836,199.0,111.0,199.0,99.5,1.0310880829015545,1.0310880829015545
067ee904-0db3-4181-913f-b533fb7410e8,0,False,"[(131, 108)]",366,320,104,94,366,122,233,239,131,239,131,239,131,239,131,239,131,239,131,239,131,239,131,239,131,239,131,239,131,239.0,131.0,239.0,131.0,239.0,131.0,239.0,131.0,1.0257510729613735,1.0257510729613735
067ee904-0db3-4181-913f-b533fb7410e8,0,False,"[(108, 131)]",320,366,94,104,320,111,233,239,108,239,108,239,108,239,108,239,108,239,108,239,108,239,108,239,108,239,108,239,108,239.0,108.0,239.0,108.0,239.0,108.0,239.0,108.0,1.0257510729613735,1.0257510729613735
47e93294-e0c0-4ac2-8ef1-a508de8aec3b,1,False,"[(171, 126), (116, 149)]",320,376,94,109,320,116,265,265,116,265,116,265,116,265,116,265,116,265,116,265,116,265,116,265,116,297,171,265,116,265.0,116.0,273.1415,129.9931,265.0,116.0,265.0,116.0,1.120754716981132,1.0
47e93294-e0c0-4ac2-8ef1-a508de8aec3b,1,False,"[(126, 171), (149, 116)]",376,320,109,94,376,149,265,265,149,265,149,265,149,265,149,265,149,265,149,265,149,265,149,265,149,297,126,265,149,265.0,149.0,273.1415,143.1484,265.0,149.0,265.0,149.0,1.120754716981132,1.0
6c76ab88-4817-4fba-921b-84b9c5b3318a,22,False,"[(386, 341)]",1036,1014,345,341,1036,386,727,727,386,727,386,727,386,727,386,727,386,727,386,727,386,727,386,727,386,727,386,727,386,727.0,386.0,727.0,386.0,727.0,386.0,727.0,386.0,1.0,1.0
6c76ab88-4817-4fba-921b-84b9c5b3318a,22,False,"[(341, 386)]",1014,1036,341,345,1014,341,727,727,341,727,341,727,341,727,341,727,341,727,341,727,341,727,341,727,341,727,341,727,341,727.0,341.0,727.0,341.0,727.0,341.0,727.0,341.0,1.0,1.0
9061ee77-e49c-4698-a723-1e53ef908932,11,False,"[(518, 485)]",1354,1310,473,471,1354,518,1003,1003,518,1003,518,1003,518,1003,518,1003,518,1003,518,1003,518,1003,518,1003,518,1003,518,1003,518,1003.0,518.0,1003.0,518.0,1003.0,518.0,1003.0,518.0,1.0,1.0
9061ee77-e49c-4698-a723-1e53ef908932,11,False,"[(485, 518)]",1310,1354,471,473,1310,485,1003,1003,485,1003,485,1003,485,1003,485,1003,485,1003,485,1003,485,1003,485,1003,485,1003,485,1003,485,1003.0,485.0,1003.0,485.0,1003.0,485.0,1003.0,485.0,1.0,1.0
f79bc40c-f695-4cf9-8e68-576e238ffb4e,45,False,"[(212, 245)]",320,464,110,172,320,212,457,457,212,457,212,457,212,457,212,457,212,457,212,457,212,457,212,457,212,457,212,457,212,457.0,212.0,457.0,212.0,457.0,212.0,457.0,212.0,1.0,1.0
f79bc40c-f695-4cf9-8e68-576e238ffb4e,45,False,"[(245, 212)]",464,320,172,110,464,245,457,457,245,457,245,457,245,457,245,457,245,457,245,457,245,457,245,457,245,457,245,457,245,457.0,245.0,457.0,245.0,457.0,245.0,457.0,245.0,1.0,1.0
ea5629c1-1cc0-4fdd-bab5-80f92d89c85b,12,True,"[(149, 204), (155, 188)]",342,408,135,138,342,155,343,353,149,343,155,343,155,343,155,343,155,353,149,343,155,343,155,343,155,353,149,343,155,343.0,155.0,345.9946,153.2033,343.0,155.0,353.0,149.0,1.0291545189504374,1.0
