eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Nash,Individual Time In Nash,PoA,PoS
1ac92086-93b3-4018-982b-5d4eaf4eae5a,23,False,"[(320, 309), (299, 322)]",903,871,281,259,903,299,621,621,299,629,320,621,299,621,299,629,320,629,320,629,320,621,299,621,299,629,320,621,299,629.0,320.0,621.0,299.0,624.1959999999999,307.38969999999995,621.0,299.0,1.0128824476650564,1.0
1ac92086-93b3-4018-982b-5d4eaf4eae5a,23,False,"[(309, 320), (322, 299)]",871,903,259,281,871,322,621,621,322,629,309,621,322,621,322,629,309,629,309,629,309,621,322,621,322,629,309,621,322,629.0,309.0,621.0,322.0,624.1959999999999,316.80629999999996,621.0,322.0,1.0128824476650564,1.0
a240bc4c-24eb-410b-9c96-61faf42cba2c,22,False,"[(91, 114)]",299,299,82,82,299,94,199,205,91,205,91,205,91,205,91,205,91,205,91,205,91,205,91,205,91,205,91,205,91,205.0,91.0,205.0,91.0,205.0,91.0,205.0,91.0,1.0301507537688441,1.0301507537688441
a240bc4c-24eb-410b-9c96-61faf42cba2c,22,False,"[(114, 91)]",299,299,82,82,299,105,199,205,114,205,114,205,114,205,114,205,114,205,114,205,114,205,114,205,114,205,114,205,114,205.0,114.0,205.0,114.0,205.0,114.0,205.0,114.0,1.0301507537688441,1.0301507537688441
7f63f55a-de89-4608-b068-b4b8fe89385a,1,False,"[(93, 70)]",233,221,75,59,233,93,163,163,93,163,93,163,93,163,93,163,93,163,93,163,93,163,93,163,93,163,93,163,93,163.0,93.0,163.0,93.0,163.0,93.0,163.0,93.0,1.0,1.0
7f63f55a-de89-4608-b068-b4b8fe89385a,1,False,"[(70, 93)]",221,233,59,75,221,70,163,163,70,163,70,163,70,163,70,163,70,163,70,163,70,163,70,163,70,163,70,163,70,163.0,70.0,163.0,70.0,163.0,70.0,163.0,70.0,1.0,1.0
bb9b243e-11c5-446b-bc34-7573f4fb9bdb,23,False,"[(95, 84), (91, 102)]",243,287,76,66,243,95,179,179,95,179,95,179,95,179,95,179,95,193,91,193,91,179,95,179,95,193,91,179,95,193.0,91.0,179.0,95.0,182.20409999999998,94.0846,179.0,95.0,1.0782122905027933,1.0
bb9b243e-11c5-446b-bc34-7573f4fb9bdb,23,False,"[(84, 95), (102, 91)]",287,243,66,76,287,84,179,179,84,179,84,179,84,179,84,179,84,193,102,193,102,179,84,179,84,193,102,179,84,193.0,102.0,179.0,84.0,182.20409999999998,88.11949999999999,179.0,84.0,1.0782122905027933,1.0
e49a1a06-9a73-4dc9-a51e-40bf3daccc5d,11,False,"[(99, 88)]",243,199,67,55,243,99,187,187,99,187,99,187,99,187,99,187,99,187,99,187,99,187,99,187,99,187,99,187,99,187.0,99.0,187.0,99.0,187.0,99.0,187.0,99.0,1.0,1.0
e49a1a06-9a73-4dc9-a51e-40bf3daccc5d,11,False,"[(88, 99)]",199,243,55,67,199,88,187,187,88,187,88,187,88,187,88,187,88,187,88,187,88,187,88,187,88,187,88,187,88,187.0,88.0,187.0,88.0,187.0,88.0,187.0,88.0,1.0,1.0
07b24f55-c8b1-4bd7-9d90-ce625268b299,11,False,"[(322, 311), (325, 302)]",881,859,280,269,881,316,621,627,325,633,322,627,325,627,325,633,322,627,325,633,322,627,325,627,325,633,322,627,325,627.5,324.75,627.0,325.0,628.4960000000001,324.25199999999995,627.0,325.0,1.0193236714975846,1.0096618357487923
07b24f55-c8b1-4bd7-9d90-ce625268b299,11,False,"[(311, 322), (302, 325)]",859,881,269,280,859,305,621,627,302,633,311,627,302,627,302,633,311,627,302,633,311,627,302,627,302,633,311,627,302,627.5,302.75,627.0,302.0,628.4960000000001,304.244,627.0,302.0,1.0193236714975846,1.0096618357487923
80b7348a-c99f-455b-be37-d11ebf6abde7,11,False,"[(136, 125)]",343,309,112,102,343,130,249,261,136,261,136,261,136,261,136,261,136,261,136,261,136,261,136,261,136,261,136,261,136,261.0,136.0,261.0,136.0,261.0,136.0,261.0,136.0,1.0481927710843373,1.0481927710843373
80b7348a-c99f-455b-be37-d11ebf6abde7,11,False,"[(125, 136)]",309,343,102,112,309,119,249,261,125,261,125,261,125,261,125,261,125,261,125,261,125,261,125,261,125,261,125,261,125,261.0,125.0,261.0,125.0,261.0,125.0,261.0,125.0,1.0481927710843373,1.0481927710843373
32bfddd8-d755-4cf2-8ebb-7989a637c87b,22,False,"[(142, 131)]",431,431,119,122,431,142,273,273,142,273,142,273,142,273,142,273,142,273,142,273,142,273,142,273,142,273,142,273,142,273.0,142.0,273.0,142.0,273.0,142.0,273.0,142.0,1.0,1.0
32bfddd8-d755-4cf2-8ebb-7989a637c87b,22,False,"[(131, 142)]",431,431,122,119,431,131,273,273,131,273,131,273,131,273,131,273,131,273,131,273,131,273,131,273,131,273,131,273,131,273.0,131.0,273.0,131.0,273.0,131.0,273.0,131.0,1.0,1.0
