eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,Nash,Individual Time In Nash,Utilitarian,Individual Time In Utilitarian,PoA,PoS
87055894-c76e-4dd2-a8b2-2ce774e164f2,22,False,"[(138, 161)]",453,453,129,129,453,138,299,299,138,299,138,299,138,299,138,299,138,299,138,299,138,299,138,299,138,299,138,299,138,299.0,138.0,299.0,138.0,299.0,138.0,299.0,138.0,1.0,1.0
87055894-c76e-4dd2-a8b2-2ce774e164f2,22,False,"[(161, 138)]",453,453,129,129,453,161,299,299,161,299,161,299,161,299,161,299,161,299,161,299,161,299,161,299,161,299,161,299,161,299.0,161.0,299.0,161.0,299.0,161.0,299.0,161.0,1.0,1.0
1eb00be1-4dd2-4fa4-8fd9-066714ab3981,1,False,"[(79, 102), (83, 94), (100, 89)]",309,321,65,74,309,82,175,181,79,177,83,177,83,177,83,177,83,177,83,177,83,177,83,177,83,189,100,177,83,177.52300000000002,83.74090000000001,177.33339999999998,82.66669999999999,177.0,83.0,177.0,83.0,1.08,1.0114285714285713
1eb00be1-4dd2-4fa4-8fd9-066714ab3981,1,False,"[(102, 79), (94, 83), (89, 100)]",321,309,74,65,321,93,175,181,102,177,94,177,94,177,94,177,94,177,94,177,94,177,94,177,94,189,89,177,94,177.52300000000002,93.78210000000001,177.33339999999998,94.66669999999999,177.0,94.0,177.0,94.0,1.08,1.0114285714285713
75afd537-6db5-4f83-94de-04427b30dff4,1,False,"[(85, 108), (107, 96)]",309,321,76,77,309,85,193,193,85,203,107,193,85,193,85,203,107,193,85,193,85,193,85,193,85,203,107,193,85,196.5192,92.7423,196.23520000000002,92.11760000000001,193.0,85.0,193.0,85.0,1.0518134715025906,1.0
75afd537-6db5-4f83-94de-04427b30dff4,1,False,"[(108, 85), (96, 107)]",321,309,77,76,321,108,193,193,108,203,96,193,108,193,108,203,96,193,108,193,108,193,108,193,108,203,96,193,108,196.5192,103.77690000000001,196.23520000000002,104.11760000000001,193.0,108.0,193.0,108.0,1.0518134715025906,1.0
3514be63-37f6-4b21-8fbd-feeb6cc90b8e,22,False,"[(75, 98)]",299,299,64,60,299,78,167,173,75,173,75,173,75,173,75,173,75,173,75,173,75,173,75,173,75,173,75,173,75,173.0,75.0,173.0,75.0,173.0,75.0,173.0,75.0,1.035928143712575,1.035928143712575
3514be63-37f6-4b21-8fbd-feeb6cc90b8e,22,False,"[(98, 75)]",299,299,60,64,299,89,167,173,98,173,98,173,98,173,98,173,98,173,98,173,98,173,98,173,98,173,98,173,98,173.0,98.0,173.0,98.0,173.0,98.0,173.0,98.0,1.035928143712575,1.035928143712575
43938972-b9d2-4e31-915e-536a4013fdec,0,False,"[(94, 71), (77, 88)]",289,243,65,57,289,85,159,165,94,165,77,165,94,165,94,165,77,165,94,165,94,165,94,165,94,165,77,165,94,165.0,86.3854,165.0,94.0,165.0,93.99719999999999,165.0,77.0,1.0377358490566038,1.0377358490566038
43938972-b9d2-4e31-915e-536a4013fdec,0,False,"[(71, 94), (88, 77)]",243,289,57,65,243,74,159,165,71,165,88,165,71,165,71,165,88,165,71,165,71,165,71,165,71,165,88,165,71,165.0,78.6146,165.0,71.0,165.0,71.00280000000001,165.0,88.0,1.0377358490566038,1.0377358490566038
2d2ee605-a749-4444-9b3b-3d35ca75c252,12,False,"[(106, 95), (97, 108)]",309,321,86,86,309,106,201,201,106,201,106,201,106,201,106,201,106,205,97,205,97,201,106,201,106,205,97,201,106,202.6986,102.17830000000001,205.0,97.0,201.0,106.0,201.0,106.0,1.0199004975124377,1.0
2d2ee605-a749-4444-9b3b-3d35ca75c252,12,False,"[(95, 106), (108, 97)]",321,309,86,86,321,95,201,201,95,201,95,201,95,201,95,201,95,205,108,205,108,201,95,201,95,205,108,201,95,202.6986,100.52029999999999,205.0,108.0,201.0,95.0,201.0,95.0,1.0199004975124377,1.0
d5583808-4281-4413-b9cb-e32a74e8c464,22,False,"[(219, 296)]",563,617,174,174,563,219,515,515,219,515,219,515,219,515,219,515,219,515,219,515,219,515,219,515,219,515,219,515,219,515.0,219.0,515.0,219.0,515.0,219.0,515.0,219.0,1.0,1.0
d5583808-4281-4413-b9cb-e32a74e8c464,22,False,"[(296, 219)]",617,563,174,174,617,296,515,515,296,515,296,515,296,515,296,515,296,515,296,515,296,515,296,515,296,515,296,515,296,515.0,296.0,515.0,296.0,515.0,296.0,515.0,296.0,1.0,1.0
98abc45c-62d3-4187-8ddd-4da7921b1551,22,False,"[(97, 74), (89, 78), (80, 91)]",299,299,56,60,299,88,165,171,97,167,89,167,89,167,89,167,89,167,89,167,89,167,89,167,89,171,97,167,89,167.9434,86.8775,169.0,84.5,167.0,89.0,167.0,89.0,1.0363636363636364,1.0121212121212122
98abc45c-62d3-4187-8ddd-4da7921b1551,22,False,"[(74, 97), (78, 89), (91, 80)]",299,299,60,56,299,77,165,171,74,167,78,167,78,167,78,167,78,167,78,167,78,167,78,167,78,171,74,167,78,167.9434,81.0659,169.0,84.5,167.0,78.0,167.0,78.0,1.0363636363636364,1.0121212121212122
4637e533-2d68-4b6b-b081-cbad5009ec9d,22,False,"[(88, 77)]",299,299,65,68,299,88,165,165,88,165,88,165,88,165,88,165,88,165,88,165,88,165,88,165,88,165,88,165,88,165.0,88.0,165.0,88.0,165.0,88.0,165.0,88.0,1.0,1.0
4637e533-2d68-4b6b-b081-cbad5009ec9d,22,False,"[(77, 88)]",299,299,68,65,299,77,165,165,77,165,77,165,77,165,77,165,77,165,77,165,77,165,77,165,77,165,77,165,77,165.0,77.0,165.0,77.0,165.0,77.0,165.0,77.0,1.0,1.0
99c2edff-bc6f-4fc0-92df-637a09023751,23,False,"[(156, 179)]",309,299,138,128,309,159,329,335,156,335,156,335,156,335,156,335,156,335,156,335,156,335,156,335,156,335,156,335,156,335.0,156.0,335.0,156.0,335.0,156.0,335.0,156.0,1.0182370820668694,1.0182370820668694
99c2edff-bc6f-4fc0-92df-637a09023751,23,False,"[(179, 156)]",299,309,128,138,299,170,329,335,179,335,179,335,179,335,179,335,179,335,179,335,179,335,179,335,179,335,179,335,179,335.0,179.0,335.0,179.0,335.0,179.0,335.0,179.0,1.0182370820668694,1.0182370820668694
