eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Nash,Individual Time In Nash,Utilitarian,Individual Time In Utilitarian,Egalitarian,Individual Time In Egalitarian,PoA,PoS
2cbf8359-9324-4ed4-921c-e9d9639dd7ac,22,False,"[(172, 149)]",398,398,140,140,398,163,315,321,172,321,172,321,172,321,172,321,172,321,172,321,172,321,172,321,172,321,172,321,172,321.0,172.0,321.0,172.0,321.0,172.0,321.0,172.0,1.019047619047619,1.019047619047619
2cbf8359-9324-4ed4-921c-e9d9639dd7ac,22,False,"[(149, 172)]",398,398,140,140,398,152,315,321,149,321,149,321,149,321,149,321,149,321,149,321,149,321,149,321,149,321,149,321,149,321.0,149.0,321.0,149.0,321.0,149.0,321.0,149.0,1.019047619047619,1.019047619047619
81bb040f-9d73-4356-b66b-8824a62794d0,22,False,"[(249, 316)]",596,640,240,257,596,252,559,565,249,565,249,565,249,565,249,565,249,565,249,565,249,565,249,565,249,565,249,565,249,565.0,249.0,565.0,249.0,565.0,249.0,565.0,249.0,1.0107334525939178,1.0107334525939178
81bb040f-9d73-4356-b66b-8824a62794d0,22,False,"[(316, 249)]",640,596,257,240,640,307,559,565,316,565,316,565,316,565,316,565,316,565,316,565,316,565,316,565,316,565,316,565,316,565.0,316.0,565.0,316.0,565.0,316.0,565.0,316.0,1.0107334525939178,1.0107334525939178
4eedd265-d9ae-4abc-a648-7a888dc4fba3,22,False,"[(111, 100), (93, 104), (88, 111)]",310,276,79,82,310,91,193,199,88,197,93,197,93,197,93,211,111,211,111,211,111,197,93,197,93,211,111,197,93,197.0276,93.03550000000001,197.0,93.0,197.0,93.0,211.0,111.0,1.0932642487046633,1.0207253886010363
4eedd265-d9ae-4abc-a648-7a888dc4fba3,22,False,"[(100, 111), (104, 93), (111, 88)]",276,310,82,79,276,102,193,199,111,197,104,197,104,197,104,211,100,211,100,211,100,197,104,197,104,211,100,197,104,197.0276,103.9921,197.0,104.0,197.0,104.0,211.0,100.0,1.0932642487046633,1.0207253886010363
3dba276e-ca6a-4213-ae66-fb35686ac94c,0,False,"[(128, 173)]",342,398,117,155,342,128,301,301,128,301,128,301,128,301,128,301,128,301,128,301,128,301,128,301,128,301,128,301,128,301.0,128.0,301.0,128.0,301.0,128.0,301.0,128.0,1.0,1.0
3dba276e-ca6a-4213-ae66-fb35686ac94c,0,False,"[(173, 128)]",398,342,155,117,398,173,301,301,173,301,173,301,173,301,173,301,173,301,173,301,173,301,173,301,173,301,173,301,173,301.0,173.0,301.0,173.0,301.0,173.0,301.0,173.0,1.0,1.0
a5468eb4-51a6-4526-8e5a-75cd1f25f153,0,False,"[(152, 129)]",310,276,125,118,310,143,275,281,152,281,152,281,152,281,152,281,152,281,152,281,152,281,152,281,152,281,152,281,152,281.0,152.0,281.0,152.0,281.0,152.0,281.0,152.0,1.0218181818181817,1.0218181818181817
a5468eb4-51a6-4526-8e5a-75cd1f25f153,0,False,"[(129, 152)]",276,310,118,125,276,132,275,281,129,281,129,281,129,281,129,281,129,281,129,281,129,281,129,281,129,281,129,281,129,281.0,129.0,281.0,129.0,281.0,129.0,281.0,129.0,1.0218181818181817,1.0218181818181817
