eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Utilitarian,Individual Time In Utilitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,PoA,PoS
d428b2e2-d172-4b68-a488-d993bab12821,22,False,"[(59, 82), (69, 80), (82, 71), (85, 62)]",145,145,50,51,145,62,135,141,59,149,69,141,59,141,59,149,69,149,69,149,69,141,59,141,59,153,82,141,59,141.4732,61.05029999999999,141.0,59.0,143.6611,70.5317,144.0,72.0,1.1333333333333333,1.0444444444444445
d428b2e2-d172-4b68-a488-d993bab12821,22,False,"[(82, 59), (80, 69), (71, 82), (62, 85)]",145,145,51,50,145,73,135,141,82,149,80,141,82,141,82,149,80,149,80,149,80,141,82,141,82,153,71,141,82,141.4732,80.4229,141.0,82.0,143.6611,73.1294,144.0,72.0,1.1333333333333333,1.0444444444444445
39805761-69e0-4ee2-b86f-129c52c8e99c,1,True,"[(48, 71)]",177,199,37,50,177,48,119,119,48,119,48,119,48,119,48,119,48,119,48,119,48,119,48,119,48,119,48,119,48,119.0,48.0,119.0,48.0,119.0,48.0,119.0,48.0,1.0,1.0
39805761-69e0-4ee2-b86f-129c52c8e99c,1,True,"[(71, 48)]",199,177,50,37,199,71,119,119,71,119,71,119,71,119,71,119,71,119,71,119,71,119,71,119,71,119,71,119,71,119.0,71.0,119.0,71.0,119.0,71.0,119.0,71.0,1.0,1.0
94270c68-76ff-4c8c-80e7-4b1ca4728cdb,22,False,"[(61, 72), (69, 46)]",145,145,28,36,145,60,109,115,69,115,69,115,69,115,69,133,61,115,69,115,69,115,69,115,69,133,61,115,69,115.0,69.0,115.0,69.0,119.79039999999998,66.871,127.1764,63.5882,1.2201834862385321,1.055045871559633
94270c68-76ff-4c8c-80e7-4b1ca4728cdb,22,False,"[(72, 61), (46, 69)]",145,145,36,28,145,49,109,115,46,115,46,115,46,115,46,133,72,115,46,115,46,115,46,115,46,133,72,115,46,115.0,46.0,115.0,46.0,119.79039999999998,52.919399999999996,127.1764,63.5882,1.2201834862385321,1.055045871559633
95513d1e-1726-4c0d-823b-e417c426a88a,1,False,"[(59, 36)]",145,133,32,25,145,50,89,95,59,95,59,95,59,95,59,95,59,95,59,95,59,95,59,95,59,95,59,95,59,95.0,59.0,95.0,59.0,95.0,59.0,95.0,59.0,1.0674157303370786,1.0674157303370786
95513d1e-1726-4c0d-823b-e417c426a88a,1,False,"[(36, 59)]",133,145,25,32,133,39,89,95,36,95,36,95,36,95,36,95,36,95,36,95,36,95,36,95,36,95,36,95,36,95.0,36.0,95.0,36.0,95.0,36.0,95.0,36.0,1.0674157303370786,1.0674157303370786
1d06c93b-0166-4c6e-a020-06b83de80bba,0,False,"[(74, 97)]",177,211,60,79,177,77,165,171,74,171,74,171,74,171,74,171,74,171,74,171,74,171,74,171,74,171,74,171,74,171.0,74.0,171.0,74.0,171.0,74.0,171.0,74.0,1.0363636363636364,1.0363636363636364
1d06c93b-0166-4c6e-a020-06b83de80bba,0,False,"[(97, 74)]",211,177,79,60,211,88,165,171,97,171,97,171,97,171,97,171,97,171,97,171,97,171,97,171,97,171,97,171,97,171.0,97.0,171.0,97.0,171.0,97.0,171.0,97.0,1.0363636363636364,1.0363636363636364
