eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Egalitarian,Individual Time In Egalitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Utilitarian,Individual Time In Utilitarian,PoA,PoS
5b63d245-1733-4f45-afcb-81b6618130c2,1,False,"[(70, 47)]",167,155,50,38,167,70,117,117,70,117,70,117,70,117,70,117,70,117,70,117,70,117,70,117,70,117,70,117,70,117.0,70.0,117.0,70.0,117.0,70.0,117.0,70.0,1.0,1.0
5b63d245-1733-4f45-afcb-81b6618130c2,1,False,"[(47, 70)]",155,167,38,50,155,47,117,117,47,117,47,117,47,117,47,117,47,117,47,117,47,117,47,117,47,117,47,117,47,117.0,47.0,117.0,47.0,117.0,47.0,117.0,47.0,1.0,1.0
406d457e-7967-4be5-9c47-a412bb9bacd7,0,False,"[(61, 50)]",155,201,41,41,155,61,111,111,61,111,61,111,61,111,61,111,61,111,61,111,61,111,61,111,61,111,61,111,61,111.0,61.0,111.0,61.0,111.0,61.0,111.0,61.0,1.0,1.0
406d457e-7967-4be5-9c47-a412bb9bacd7,0,False,"[(50, 61)]",201,155,41,41,201,50,111,111,50,111,50,111,50,111,50,111,50,111,50,111,50,111,50,111,50,111,50,111,50,111.0,50.0,111.0,50.0,111.0,50.0,111.0,50.0,1.0,1.0
02ed2a65-4552-452a-8238-9a10eb931381,23,False,"[(495, 472)]",585,661,217,224,585,495,967,967,495,967,495,967,495,967,495,967,495,967,495,967,495,967,495,967,495,967,495,967,495,967.0,495.0,967.0,495.0,967.0,495.0,967.0,495.0,1.0,1.0
02ed2a65-4552-452a-8238-9a10eb931381,23,False,"[(472, 495)]",661,585,224,217,661,472,967,967,472,967,472,967,472,967,472,967,472,967,472,967,472,967,472,967,472,967,472,967,472,967.0,472.0,967.0,472.0,967.0,472.0,967.0,472.0,1.0,1.0
9d3ef0c1-65fb-4510-a923-1492d1101a73,23,False,"[(87, 98), (92, 69)]",167,177,50,51,167,83,155,161,92,161,92,161,92,161,92,185,87,185,87,161,92,161,92,161,92,185,87,161,92,161.0,92.0,184.2942,87.1471,165.5314,91.0559,161.0,92.0,1.1935483870967742,1.038709677419355
9d3ef0c1-65fb-4510-a923-1492d1101a73,23,False,"[(98, 87), (69, 92)]",177,167,51,50,177,72,155,161,69,161,69,161,69,161,69,185,98,185,98,161,69,161,69,161,69,185,98,161,69,161.0,69.0,184.2942,97.1471,165.5314,74.4755,161.0,69.0,1.1935483870967742,1.038709677419355
ff425284-b395-47a1-9d97-ca5e045b2ed0,0,False,"[(118, 141)]",353,387,104,114,353,121,253,259,118,259,118,259,118,259,118,259,118,259,118,259,118,259,118,259,118,259,118,259,118,259.0,118.0,259.0,118.0,259.0,118.0,259.0,118.0,1.023715415019763,1.023715415019763
ff425284-b395-47a1-9d97-ca5e045b2ed0,0,False,"[(141, 118)]",387,353,114,104,387,132,253,259,141,259,141,259,141,259,141,259,141,259,141,259,141,259,141,259,141,259,141,259,141,259.0,141.0,259.0,141.0,259.0,141.0,259.0,141.0,1.023715415019763,1.023715415019763
849c1968-a1d4-4fca-9ab0-e2c9e1a69b5c,0,False,"[(458, 435), (450, 461)]",1795,1761,440,424,1795,458,893,893,458,893,458,893,458,893,458,911,450,893,458,893,458,893,458,893,458,911,450,893,458,893.0,458.0,893.0,458.0,897.1893,456.1379999999999,893.0,458.0,1.0201567749160134,1.0
849c1968-a1d4-4fca-9ab0-e2c9e1a69b5c,0,False,"[(435, 458), (461, 450)]",1761,1795,424,440,1761,435,893,893,435,893,435,893,435,893,435,911,461,893,435,893,435,893,435,893,435,911,461,893,435,893.0,435.0,893.0,435.0,897.1893,441.0513000000001,893.0,435.0,1.0201567749160134,1.0
8e0f6f96-b103-4d6d-ab48-c2b5fc5a5f22,11,False,"[(184, 173), (180, 203)]",441,441,143,134,441,184,357,357,184,357,184,357,184,357,184,357,184,357,184,357,184,357,184,357,184,383,180,357,184,357.0,184.0,365.41179999999997,182.70589999999999,360.1310000000001,183.5183,357.0,184.0,1.072829131652661,1.0
8e0f6f96-b103-4d6d-ab48-c2b5fc5a5f22,11,False,"[(173, 184), (203, 180)]",441,441,134,143,441,173,357,357,173,357,173,357,173,357,173,357,173,357,173,357,173,357,173,357,173,383,203,357,173,357.0,173.0,365.41179999999997,182.70589999999999,360.1310000000001,176.61270000000002,357.0,173.0,1.072829131652661,1.0
30fcf172-93ad-444e-b7ce-ec58acbf2dec,23,False,"[(73, 62)]",177,199,59,53,177,73,135,135,73,135,73,135,73,135,73,135,73,135,73,135,73,135,73,135,73,135,73,135,73,135.0,73.0,135.0,73.0,135.0,73.0,135.0,73.0,1.0,1.0
30fcf172-93ad-444e-b7ce-ec58acbf2dec,23,False,"[(62, 73)]",199,177,53,59,199,62,135,135,62,135,62,135,62,135,62,135,62,135,62,135,62,135,62,135,62,135,62,135,62,135.0,62.0,135.0,62.0,135.0,62.0,135.0,62.0,1.0,1.0
ca34b33e-520b-4ac1-8231-4bfad0c70ac4,22,False,"[(80, 57)]",211,211,48,48,211,71,131,137,80,137,80,137,80,137,80,137,80,137,80,137,80,137,80,137,80,137,80,137,80,137.0,80.0,137.0,80.0,137.0,80.0,137.0,80.0,1.0458015267175573,1.0458015267175573
