eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,PoA,PoS
c6953597-321a-4655-9bfa-ba31c4ee8ed8,22,False,"[(122, 99), (105, 116)]",321,321,93,82,321,113,215,221,122,221,105,221,122,221,122,221,105,221,105,221,105,221,122,221,105,221,122,221,122,221.0,110.5,221.0,105.0,221.0,110.5,221.0,113.3836,1.027906976744186,1.027906976744186
c6953597-321a-4655-9bfa-ba31c4ee8ed8,22,False,"[(99, 122), (116, 105)]",321,321,82,93,321,102,215,221,99,221,116,221,99,221,99,221,116,221,116,221,116,221,99,221,116,221,99,221,99,221.0,110.5,221.0,116.0,221.0,110.5,221.0,107.6164,1.027906976744186,1.027906976744186
c872db06-401e-428b-9bf6-33bedc998446,0,False,"[(94, 105), (103, 80)]",321,287,76,66,321,94,177,183,103,183,103,183,103,183,103,199,94,183,103,183,103,183,103,183,103,199,94,183,103,183.0,103.0,183.0,103.0,183.0,103.0,186.95439999999996,100.7757,1.1242937853107344,1.0338983050847457
c872db06-401e-428b-9bf6-33bedc998446,0,False,"[(105, 94), (80, 103)]",287,321,66,76,287,83,177,183,80,183,80,183,80,183,80,199,105,183,80,183,80,183,80,183,80,199,105,183,80,183.0,80.0,183.0,80.0,183.0,80.0,186.95439999999996,86.17869999999999,1.1242937853107344,1.0338983050847457
2960abf1-54d5-4c09-b4cc-7d012bd42062,11,False,"[(105, 94)]",353,331,82,86,353,105,199,199,105,199,105,199,105,199,105,199,105,199,105,199,105,199,105,199,105,199,105,199,105,199.0,105.0,199.0,105.0,199.0,105.0,199.0,105.0,1.0,1.0
2960abf1-54d5-4c09-b4cc-7d012bd42062,11,False,"[(94, 105)]",331,353,86,82,331,94,199,199,94,199,94,199,94,199,94,199,94,199,94,199,94,199,94,199,94,199,94,199,94,199.0,94.0,199.0,94.0,199.0,94.0,199.0,94.0,1.0,1.0
20733add-9fa5-4116-baca-66555c3fab7c,11,False,"[(102, 79), (81, 92)]",321,287,70,62,321,81,173,181,102,173,81,173,81,173,81,173,81,181,102,181,102,173,81,173,81,181,102,173,81,181.0,102.0,173.0,81.0,173.0,81.0,176.3333,89.75,1.046242774566474,1.0
20733add-9fa5-4116-baca-66555c3fab7c,11,False,"[(79, 102), (92, 81)]",287,321,62,70,287,92,173,181,79,173,92,173,92,173,92,173,92,181,79,181,79,173,92,173,92,181,79,173,92,181.0,79.0,173.0,92.0,173.0,92.0,176.3333,86.58330000000001,1.046242774566474,1.0
6f4c7658-423b-4760-8b37-bf26f9834972,0,False,"[(105, 128), (142, 119)]",331,377,97,108,331,105,233,233,105,233,105,233,105,233,105,233,105,233,105,233,105,233,105,233,105,261,142,233,105,233.0,105.0,233.0,105.0,233.0,105.0,237.91819999999996,111.499,1.1201716738197425,1.0
6f4c7658-423b-4760-8b37-bf26f9834972,0,False,"[(128, 105), (119, 142)]",377,331,108,97,377,128,233,233,128,233,128,233,128,233,128,233,128,233,128,233,128,233,128,233,128,261,119,233,128,233.0,128.0,233.0,128.0,233.0,128.0,237.91819999999996,126.41919999999999,1.1201716738197425,1.0
