eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Egalitarian,Individual Time In Egalitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Utilitarian,Individual Time In Utilitarian,Nash,Individual Time In Nash,PoA,PoS
201b2e53-5105-4c27-b979-888031764c0a,22,True,"[(45, 35)]",45,35,9,8,45,50,67,80,45,80,45,80,45,80,45,80,45,80,45,80,45,80,45,80,45,80,45,80,45,80.0,45.0,80.0,45.0,80.0,45.0,80.0,45.0,1.1940298507462686,1.1940298507462686
2ac5ed9a-cb6a-4a91-91f0-97a7ac2393bb,22,True,"[(45, 23)]",45,23,18,14,45,27,65,68,45,68,45,68,45,68,45,68,45,68,45,68,45,68,45,68,45,68,45,68,45,68.0,45.0,68.0,45.0,68.0,45.0,68.0,45.0,1.0461538461538462,1.0461538461538462
2ac5ed9a-cb6a-4a91-91f0-97a7ac2393bb,22,True,"[(23, 45)]",23,45,14,18,23,38,65,68,23,68,23,68,23,68,23,68,23,68,23,68,23,68,23,68,23,68,23,68,23,68.0,23.0,68.0,23.0,68.0,23.0,68.0,23.0,1.0461538461538462,1.0461538461538462
0719a75f-0841-4c73-9881-580d12258157,23,True,"[(29, 52)]",45,67,18,25,45,32,75,81,29,81,29,81,29,81,29,81,29,81,29,81,29,81,29,81,29,81,29,81,29,81.0,29.0,81.0,29.0,81.0,29.0,81.0,29.0,1.08,1.08
0719a75f-0841-4c73-9881-580d12258157,23,True,"[(52, 29)]",67,45,25,18,67,43,75,81,52,81,52,81,52,81,52,81,52,81,52,81,52,81,52,81,52,81,52,81,52,81.0,52.0,81.0,52.0,81.0,52.0,81.0,52.0,1.08,1.08
0a522072-a311-474e-bb7e-293c17aeb10b,12,True,"[(32, 55), (38, 27)]",45,57,9,13,45,38,65,65,38,65,38,65,38,65,38,65,38,65,38,65,38,65,38,65,38,87,32,65,38,79.8824,33.9412,72.27940000000001,36.0147,65.0,38.0,65.0001,38.0,1.3384615384615384,1.0
0a522072-a311-474e-bb7e-293c17aeb10b,12,True,"[(55, 32), (27, 38)]",57,45,13,9,57,27,65,65,27,65,27,65,27,65,27,65,27,65,27,65,27,65,27,65,27,87,55,65,27,79.8824,45.9412,72.27940000000001,36.264700000000005,65.0,27.0,65.0001,27.0001,1.3384615384615384,1.0
45c4a699-7608-4a77-a90d-216ccb57caaa,23,True,"[(29, 40)]",45,45,9,18,45,29,69,69,29,69,29,69,29,69,29,69,29,69,29,69,29,69,29,69,29,69,29,69,29,69.0,29.0,69.0,29.0,69.0,29.0,69.0,29.0,1.0,1.0
45c4a699-7608-4a77-a90d-216ccb57caaa,23,True,"[(40, 29)]",45,45,18,9,45,40,69,69,40,69,40,69,40,69,40,69,40,69,40,69,40,69,40,69,40,69,40,69,40,69.0,40.0,69.0,40.0,69.0,40.0,69.0,40.0,1.0,1.0
fb24bdc0-a5f8-4277-803c-d4f17ca367e9,1,False,"[(191, 146)]",563,529,146,135,563,182,331,337,191,337,191,337,191,337,191,337,191,337,191,337,191,337,191,337,191,337,191,337,191,337.0,191.0,337.0,191.0,337.0,191.0,337.0,191.0,1.0181268882175227,1.0181268882175227
fb24bdc0-a5f8-4277-803c-d4f17ca367e9,1,False,"[(146, 191)]",529,563,135,146,529,149,331,337,146,337,146,337,146,337,146,337,146,337,146,337,146,337,146,337,146,337,146,337,146,337.0,146.0,337.0,146.0,337.0,146.0,337.0,146.0,1.0181268882175227,1.0181268882175227
a4756400-365c-4e19-acf9-e81aa213d3c1,11,True,"[(29, 40), (20, 43)]",45,57,9,13,45,33,55,63,20,69,29,63,20,63,20,69,29,69,29,69,29,63,20,63,20,69,29,63,20,68.5,28.25,64.97370000000001,22.9605,63.0,20.0,63.0,20.0,1.2545454545454546,1.1454545454545455
