eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Utilitarian,Individual Time In Utilitarian,Egalitarian,Individual Time In Egalitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Nash,Individual Time In Nash,PoA,PoS
e765d452-5ede-4d99-9814-786f32b03278,22,False,"[(66, 89), (75, 86), (79, 68)]",255,255,57,57,255,79,147,155,66,147,79,147,79,147,79,161,75,147,79,147,79,147,79,147,79,161,75,147,79,147.0,79.0,149.58819999999997,74.79409999999999,150.0387,74.06200000000001,147.0,79.0,1.0952380952380953,1.0
e765d452-5ede-4d99-9814-786f32b03278,22,False,"[(89, 66), (86, 75), (68, 79)]",255,255,57,57,255,68,147,155,89,147,68,147,68,147,68,161,86,147,68,147,68,147,68,147,68,161,86,147,68,147.0,68.0,149.58819999999997,74.79409999999999,150.0387,75.9767,147.0,68.0,1.0952380952380953,1.0
c34ae585-29f7-4a0d-b345-9a823cc62572,23,False,"[(67, 78), (71, 60)]",265,265,62,49,265,71,131,131,71,131,71,131,71,131,71,145,67,131,71,131,71,131,71,131,71,145,67,131,71,131.0,71.0,138.0,69.0,133.61860000000001,70.2518,131.0,71.0,1.1068702290076335,1.0
c34ae585-29f7-4a0d-b345-9a823cc62572,23,False,"[(78, 67), (60, 71)]",265,265,49,62,265,60,131,131,60,131,60,131,60,131,60,145,78,131,60,131,60,131,60,131,60,145,78,131,60,131.0,60.0,138.0,69.0,133.61860000000001,63.36680000000001,131.0,60.0,1.1068702290076335,1.0
41810d2d-3d22-4f4a-92bd-044bf3051e23,22,False,"[(73, 96), (82, 93), (99, 76)]",255,243,62,61,255,73,169,169,73,175,82,169,73,169,73,175,82,175,99,175,82,169,73,169,73,175,82,169,73,169.0,73.0,173.5652,92.7826,171.7362,84.85669999999999,169.0,73.0,1.0355029585798816,1.0
41810d2d-3d22-4f4a-92bd-044bf3051e23,22,False,"[(96, 73), (93, 82), (76, 99)]",243,255,61,62,243,96,169,169,96,175,93,169,96,169,96,175,93,175,76,175,93,169,96,169,96,175,93,169,96,169.0,96.0,173.5652,80.7826,171.7362,86.87950000000001,169.0,96.0,1.0355029585798816,1.0
3e2fb6a1-2ece-4b87-89be-f023c7cb8dfc,22,False,"[(66, 77)]",255,243,57,54,255,66,143,143,66,143,66,143,66,143,66,143,66,143,66,143,66,143,66,143,66,143,66,143,66,143.0,66.0,143.0,66.0,143.0,66.0,143.0,66.0,1.0,1.0
3e2fb6a1-2ece-4b87-89be-f023c7cb8dfc,22,False,"[(77, 66)]",243,255,54,57,243,77,143,143,77,143,77,143,77,143,77,143,77,143,77,143,77,143,77,143,77,143,77,143,77,143.0,77.0,143.0,77.0,143.0,77.0,143.0,77.0,1.0,1.0
03f905d0-7ae8-44f6-b0f1-82a013b1a272,0,False,"[(132, 109)]",267,221,118,86,267,132,241,241,132,241,132,241,132,241,132,241,132,241,132,241,132,241,132,241,132,241,132,241,132,241.0,132.0,241.0,132.0,241.0,132.0,241.0,132.0,1.0,1.0
03f905d0-7ae8-44f6-b0f1-82a013b1a272,0,False,"[(109, 132)]",221,267,86,118,221,109,241,241,109,241,109,241,109,241,109,241,109,241,109,241,109,241,109,241,109,241,109,241,109,241.0,109.0,241.0,109.0,241.0,109.0,241.0,109.0,1.0,1.0
