eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Utilitarian,Individual Time In Utilitarian,Egalitarian,Individual Time In Egalitarian,Nash,Individual Time In Nash,PoA,PoS
3e635081-9fb5-4fe6-9334-b2911fc2a023,22,False,"[(93, 104), (102, 91), (110, 87)]",255,243,80,71,255,96,181,197,110,193,102,193,102,193,102,197,93,193,102,193,102,193,102,193,102,197,93,193,102,193.86149999999998,100.0615,193.0,102.0,193.33339999999998,102.66669999999999,193.0,102.0,1.0883977900552486,1.0662983425414365
3e635081-9fb5-4fe6-9334-b2911fc2a023,22,False,"[(104, 93), (91, 102), (87, 110)]",243,255,71,80,243,85,181,197,87,193,91,193,91,193,91,197,104,193,91,193,91,193,91,193,91,197,104,193,91,193.86149999999998,93.80000000000001,193.0,91.0,193.33339999999998,90.66669999999999,193.0,91.0,1.0883977900552486,1.0662983425414365
7414c118-c555-4657-a9c5-90d7ba6ffa5a,11,False,"[(77, 100), (86, 75)]",287,287,66,65,287,86,161,161,86,161,86,161,86,161,86,161,86,161,86,161,86,161,86,161,86,177,77,161,86,165.2649,83.601,161.0,86.0,166.1764,83.0882,161.0,86.0,1.0993788819875776,1.0
7414c118-c555-4657-a9c5-90d7ba6ffa5a,11,False,"[(100, 77), (75, 86)]",287,287,65,66,287,75,161,161,75,161,75,161,75,161,75,161,75,161,75,161,75,161,75,161,75,177,100,161,75,165.2649,81.66390000000001,161.0,75.0,166.1764,83.0882,161.0,75.0,1.0993788819875776,1.0
52592bc7-8277-4a9b-a35b-6931c4fccd1d,22,False,"[(100, 111)]",277,265,89,96,277,100,211,211,100,211,100,211,100,211,100,211,100,211,100,211,100,211,100,211,100,211,100,211,100,211.0,100.0,211.0,100.0,211.0,100.0,211.0,100.0,1.0,1.0
52592bc7-8277-4a9b-a35b-6931c4fccd1d,22,False,"[(111, 100)]",265,277,96,89,265,111,211,211,111,211,111,211,111,211,111,211,111,211,111,211,111,211,111,211,111,211,111,211,111,211.0,111.0,211.0,111.0,211.0,111.0,211.0,111.0,1.0,1.0
80160d26-403b-43df-9e5a-2a561f0e79d7,22,False,"[(197, 174)]",431,431,165,165,431,188,365,371,197,371,197,371,197,371,197,371,197,371,197,371,197,371,197,371,197,371,197,371,197,371.0,197.0,371.0,197.0,371.0,197.0,371.0,197.0,1.0164383561643835,1.0164383561643835
80160d26-403b-43df-9e5a-2a561f0e79d7,22,False,"[(174, 197)]",431,431,165,165,431,177,365,371,174,371,174,371,174,371,174,371,174,371,174,371,174,371,174,371,174,371,174,371,174,371.0,174.0,371.0,174.0,371.0,174.0,371.0,174.0,1.0164383561643835,1.0164383561643835
1781a593-b8d6-4369-bd78-6e55d6c2c324,23,False,"[(184, 207)]",397,387,157,147,397,184,391,391,184,391,184,391,184,391,184,391,184,391,184,391,184,391,184,391,184,391,184,391,184,391.0,184.0,391.0,184.0,391.0,184.0,391.0,184.0,1.0,1.0
1781a593-b8d6-4369-bd78-6e55d6c2c324,23,False,"[(207, 184)]",387,397,147,157,387,207,391,391,207,391,207,391,207,391,207,391,207,391,207,391,207,391,207,391,207,391,207,391,207,391.0,207.0,391.0,207.0,391.0,207.0,391.0,207.0,1.0,1.0
2ae9cbc1-0675-4c8b-b85c-7913880aa69e,22,False,"[(469, 446)]",1531,1531,437,433,1531,469,915,915,469,915,469,915,469,915,469,915,469,915,469,915,469,915,469,915,469,915,469,915,469,915.0,469.0,915.0,469.0,915.0,469.0,915.0,469.0,1.0,1.0
2ae9cbc1-0675-4c8b-b85c-7913880aa69e,22,False,"[(446, 469)]",1531,1531,433,437,1531,446,915,915,446,915,446,915,446,915,446,915,446,915,446,915,446,915,446,915,446,915,446,915,446,915.0,446.0,915.0,446.0,915.0,446.0,915.0,446.0,1.0,1.0
