eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Nash,Individual Time In Nash,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,PoA,PoS
a43b88b9-bd40-4a68-a651-37edebad8755,0,True,"[(100, 188)]",100,188,37,80,100,100,288,288,100,288,100,288,100,288,100,288,100,288,100,288,100,288,100,288,100,288,100,288,100,288.0,100.0,288.0,100.0,288.0,100.0,288.0,100.0,1.0,1.0
a43b88b9-bd40-4a68-a651-37edebad8755,0,True,"[(188, 100)]",188,100,80,37,188,188,288,288,188,288,188,288,188,288,188,288,188,288,188,288,188,288,188,288,188,288,188,288,188,288.0,188.0,288.0,188.0,288.0,188.0,288.0,188.0,1.0,1.0
73d27251-86de-4d3d-97f1-747b803a8e20,111,True,"[(144, 298)]",144,298,36,86,144,255,422,442,144,442,144,442,144,442,144,442,144,442,144,442,144,442,144,442,144,442,144,442,144,442.0,144.0,442.0,144.0,442.0,144.0,442.0,144.0,1.04739336492891,1.04739336492891
73d27251-86de-4d3d-97f1-747b803a8e20,111,True,"[(298, 144)]",298,144,86,36,298,167,422,442,298,442,298,442,298,442,298,442,298,442,298,442,298,442,298,442,298,442,298,442,298,442.0,298.0,442.0,298.0,442.0,298.0,442.0,298.0,1.04739336492891,1.04739336492891
7a2cb415-0c5a-4154-9908-36e2a889e364,122,True,"[(144, 122)]",144,122,36,31,144,144,266,266,144,266,144,266,144,266,144,266,144,266,144,266,144,266,144,266,144,266,144,266,144,266.0,144.0,266.0,144.0,266.0,144.0,266.0,144.0,1.0,1.0
7a2cb415-0c5a-4154-9908-36e2a889e364,122,True,"[(122, 144)]",122,144,31,36,122,122,266,266,122,266,122,266,122,266,122,266,122,266,122,266,122,266,122,266,122,266,122,266,122,266.0,122.0,266.0,122.0,266.0,122.0,266.0,122.0,1.0,1.0
db15d36d-1c66-40ab-aaed-9a8bfb165033,56,True,"[(76, 186)]",122,188,41,53,122,76,262,262,76,262,76,262,76,262,76,262,76,262,76,262,76,262,76,262,76,262,76,262,76,262.0,76.0,262.0,76.0,262.0,76.0,262.0,76.0,1.0,1.0
db15d36d-1c66-40ab-aaed-9a8bfb165033,56,True,"[(186, 76)]",188,122,53,41,188,186,262,262,186,262,186,262,186,262,186,262,186,262,186,262,186,262,186,262,186,262,186,262,186,262.0,186.0,262.0,186.0,262.0,186.0,262.0,186.0,1.0,1.0
a761a308-6ded-44a5-bfbd-50230ae5d202,78,True,"[(144, 1080)]",144,1080,54,399,144,75,1162,1224,144,1224,144,1224,144,1224,144,1224,144,1224,144,1224,144,1224,144,1224,144,1224,144,1224,144,1224.0,144.0,1224.0,144.0,1224.0,144.0,1224.0,144.0,1.0533562822719449,1.0533562822719449
a761a308-6ded-44a5-bfbd-50230ae5d202,78,True,"[(1080, 144)]",1080,144,399,54,1080,1087,1162,1224,1080,1224,1080,1224,1080,1224,1080,1224,1080,1224,1080,1224,1080,1224,1080,1224,1080,1224,1080,1224,1080,1224.0,1080.0,1224.0,1080.0,1224.0,1080.0,1224.0,1080.0,1.0533562822719449,1.0533562822719449
cfaaa873-e744-402d-b63f-707cbf553170,1,False,"[(72, 160), (71, 171)]",100,210,19,48,100,72,232,242,71,232,72,232,72,232,72,232,72,242,71,232,72,232,72,232,72,242,71,232,72,233.355,71.86449999999999,232.0,72.0,242.0,71.0,232.0,72.0,1.043103448275862,1.0
cfaaa873-e744-402d-b63f-707cbf553170,1,False,"[(160, 72), (171, 71)]",210,100,48,19,210,160,232,242,171,232,160,232,160,232,160,232,160,242,171,232,160,232,160,232,160,242,171,232,160,233.355,161.4905,232.0,160.0,242.0,171.0,232.0,160.0,1.043103448275862,1.0
