eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Egalitarian,Individual Time In Egalitarian,Nash,Individual Time In Nash,Utilitarian,Individual Time In Utilitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,PoA,PoS
5c65cfad-165c-4464-a247-dbd2f239f098,0,False,"[(172, 95), (182, 83), (190, 79)]",244,100,47,28,244,181,263,269,190,267,172,265,182,265,182,267,172,269,190,269,190,269,190,269,190,267,172,265,182,269.0,190.0,269.0,190.0,265.0,182.0,265.68420000000003,183.3684,1.0228136882129277,1.0076045627376427
a844d47a-bf8b-440e-9113-26dc7ce0a24f,99,True,"[(100, 78)]",100,78,19,24,100,100,178,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178.0,100.0,178.0,100.0,178.0,100.0,178.0,100.0,1.0,1.0
a844d47a-bf8b-440e-9113-26dc7ce0a24f,99,True,"[(78, 100)]",78,100,24,19,78,78,178,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178.0,78.0,178.0,78.0,178.0,78.0,178.0,78.0,1.0,1.0
352ceb99-75f5-485c-b72d-60bfa7da8487,77,True,"[(100, 56)]",100,56,19,23,100,100,156,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156.0,100.0,156.0,100.0,156.0,100.0,156.0,100.0,1.0,1.0
352ceb99-75f5-485c-b72d-60bfa7da8487,77,True,"[(56, 100)]",56,100,23,19,56,56,156,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156.0,56.0,156.0,56.0,156.0,56.0,156.0,56.0,1.0,1.0
f6b896bc-1d8e-4403-96c4-0cddac52eedd,45,True,"[(100, 188)]",100,188,19,53,100,100,288,288,100,288,100,288,100,288,100,288,100,288,100,288,100,288,100,288,100,288,100,288,100,288.0,100.0,288.0,100.0,288.0,100.0,288.0,100.0,1.0,1.0
f6b896bc-1d8e-4403-96c4-0cddac52eedd,45,True,"[(188, 100)]",188,100,53,19,188,188,288,288,188,288,188,288,188,288,188,288,188,288,188,288,188,288,188,288,188,288,188,288,188,288.0,188.0,288.0,188.0,288.0,188.0,288.0,188.0,1.0,1.0
c4c0090e-7d3c-40ac-aabd-94781cbc58a4,1,True,"[(92, 147), (75, 174), (64, 175)]",100,200,28,42,100,79,235,239,64,239,92,239,92,239,92,239,92,249,75,249,75,239,64,239,64,239,92,239,92,239.0,69.5,239.0,69.5,239.0,92.0,239.0,75.3258,1.0595744680851065,1.0170212765957447
c4c0090e-7d3c-40ac-aabd-94781cbc58a4,1,True,"[(147, 92), (174, 75), (175, 64)]",200,100,42,28,200,156,235,239,175,239,147,239,147,239,147,239,147,249,174,249,174,239,175,239,175,239,147,239,147,239.0,169.5,239.0,169.5,239.0,147.0,239.0,163.67419999999998,1.0595744680851065,1.0170212765957447
0efb2f85-cd21-49c2-9dc3-50090808cb2f,33,True,"[(254, 112)]",254,112,86,23,254,245,359,366,254,366,254,366,254,366,254,366,254,366,254,366,254,366,254,366,254,366,254,366,254,366.0,254.0,366.0,254.0,366.0,254.0,366.0,254.0,1.0194986072423398,1.0194986072423398
0efb2f85-cd21-49c2-9dc3-50090808cb2f,33,True,"[(112, 254)]",112,254,23,86,112,114,359,366,112,366,112,366,112,366,112,366,112,366,112,366,112,366,112,366,112,366,112,366,112,366.0,112.0,366.0,112.0,366.0,112.0,366.0,112.0,1.0194986072423398,1.0194986072423398
b78190ab-9d87-495b-8400-d23c8eb02f33,111,True,"[(144, 100)]",144,100,45,31,144,144,244,244,144,244,144,244,144,244,144,244,144,244,144,244,144,244,144,244,144,244,144,244,144,244.0,144.0,244.0,144.0,244.0,144.0,244.0,144.0,1.0,1.0
b78190ab-9d87-495b-8400-d23c8eb02f33,111,True,"[(100, 144)]",100,144,31,45,100,100,244,244,100,244,100,244,100,244,100,244,100,244,100,244,100,244,100,244,100,244,100,244,100,244.0,100.0,244.0,100.0,244.0,100.0,244.0,100.0,1.0,1.0
