eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Utilitarian,Individual Time In Utilitarian,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,PoA,PoS
6d0d3972-3297-48be-9e67-28e57cdc952a,45,False,"[(36, 81)]",90,90,27,27,90,36,117,117,36,117,36,117,36,117,36,117,36,117,36,117,36,117,36,117,36,117,36,117,36,117.0,36.0,117.0,36.0,117.0,36.0,117.0,36.0,1.0,1.0
6d0d3972-3297-48be-9e67-28e57cdc952a,45,False,"[(81, 36)]",90,90,27,27,90,81,117,117,81,117,81,117,81,117,81,117,81,117,81,117,81,117,81,117,81,117,81,117,81,117.0,81.0,117.0,81.0,117.0,81.0,117.0,81.0,1.0,1.0
2d05250a-abde-4a98-8e36-34286d0ffec3,45,True,"[(166, 100)]",166,100,44,22,166,103,239,266,166,266,166,266,166,266,166,266,166,266,166,266,166,266,166,266,166,266,166,266,166,266.0,166.0,266.0,166.0,266.0,166.0,266.0,166.0,1.112970711297071,1.112970711297071
2d05250a-abde-4a98-8e36-34286d0ffec3,45,True,"[(100, 166)]",100,166,22,44,100,136,239,266,100,266,100,266,100,266,100,266,100,266,100,266,100,266,100,266,100,266,100,266,100,266.0,100.0,266.0,100.0,266.0,100.0,266.0,100.0,1.112970711297071,1.112970711297071
bd241118-6b8a-453f-ba84-4211003821c6,45,True,"[(37, 126), (41, 118)]",90,134,19,35,90,40,157,163,37,159,41,159,41,159,41,159,41,159,41,159,41,159,41,159,41,163,37,159,41,159.0,41.0,159.0,41.0,159.52460000000002,40.4754,159.0,41.0,1.0382165605095541,1.0127388535031847
bd241118-6b8a-453f-ba84-4211003821c6,45,True,"[(126, 37), (118, 41)]",134,90,35,19,134,117,157,163,126,159,118,159,118,159,118,159,118,159,118,159,118,159,118,159,118,163,126,159,118,159.0,118.0,159.0,118.0,159.52460000000002,119.0492,159.0,118.0,1.0382165605095541,1.0127388535031847
f594a341-d705-4ff9-8e89-7331696455ee,45,True,"[(83, 72)]",90,100,18,31,90,85,137,155,83,155,83,155,83,155,83,155,83,155,83,155,83,155,83,155,83,155,83,155,83,155.0,83.0,155.0,83.0,155.0,83.0,155.0,83.0,1.1313868613138687,1.1313868613138687
f594a341-d705-4ff9-8e89-7331696455ee,45,True,"[(72, 83)]",100,90,31,18,100,52,137,155,72,155,72,155,72,155,72,155,72,155,72,155,72,155,72,155,72,155,72,155,72,155.0,72.0,155.0,72.0,155.0,72.0,155.0,72.0,1.1313868613138687,1.1313868613138687
6e1d2c91-2958-4654-b66f-1266b72eb753,23,True,"[(91, 124)]",100,210,28,65,100,91,215,215,91,215,91,215,91,215,91,215,91,215,91,215,91,215,91,215,91,215,91,215,91,215.0,91.0,215.0,91.0,215.0,91.0,215.0,91.0,1.0,1.0
6e1d2c91-2958-4654-b66f-1266b72eb753,23,True,"[(124, 91)]",210,100,65,28,210,124,215,215,124,215,124,215,124,215,124,215,124,215,124,215,124,215,124,215,124,215,124,215,124,215.0,124.0,215.0,124.0,215.0,124.0,215.0,124.0,1.0,1.0
21066126-422c-4ac2-92a8-4bd2c58d0eb4,1,False,"[(50, 95)]",100,134,32,35,100,53,139,145,50,145,50,145,50,145,50,145,50,145,50,145,50,145,50,145,50,145,50,145,50,145.0,50.0,145.0,50.0,145.0,50.0,145.0,50.0,1.0431654676258992,1.0431654676258992
21066126-422c-4ac2-92a8-4bd2c58d0eb4,1,False,"[(95, 50)]",134,100,35,32,134,86,139,145,95,145,95,145,95,145,95,145,95,145,95,145,95,145,95,145,95,145,95,145,95,145.0,95.0,145.0,95.0,145.0,95.0,145.0,95.0,1.0431654676258992,1.0431654676258992
80ac97a7-46ab-4901-837e-d2c72b7ec7b2,33,False,"[(45, 56), (55, 44), (83, 38)]",90,56,22,11,90,55,99,121,83,99,55,99,55,99,55,101,45,99,55,99,55,99,55,99,55,101,45,99,55,99.0,55.0,99.0001,55.0001,101.5581,58.2558,113.88239999999999,73.9412,1.2222222222222223,1.0
80ac97a7-46ab-4901-837e-d2c72b7ec7b2,33,False,"[(56, 45), (44, 55), (38, 83)]",56,90,11,22,56,44,99,121,38,99,44,99,44,99,44,101,56,99,44,99,44,99,44,99,44,101,56,99,44,99.0,44.0,99.0001,44.0,101.5581,43.3023,113.88239999999999,39.941199999999995,1.2222222222222223,1.0
