eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Nash,Individual Time In Nash,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,PoA,PoS
1b6314fa-fcf5-4c04-8362-62d1084c039d,0,True,"[(100, 432)]",100,432,32,112,100,166,431,532,100,532,100,532,100,532,100,532,100,532,100,532,100,532,100,532,100,532,100,532,100,532.0,100.0,532.0,100.0,532.0,100.0,532.0,100.0,1.234338747099768,1.234338747099768
1b6314fa-fcf5-4c04-8362-62d1084c039d,0,True,"[(432, 100)]",432,100,112,32,432,265,431,532,432,532,432,532,432,532,432,532,432,532,432,532,432,532,432,532,432,532,432,532,432,532.0,432.0,532.0,432.0,532.0,432.0,532.0,432.0,1.234338747099768,1.234338747099768
31202928-193a-4038-b71b-df998f8b5738,67,True,"[(143, 88)]",144,166,61,53,144,138,221,231,143,231,143,231,143,231,143,231,143,231,143,231,143,231,143,231,143,231,143,231,143,231.0,143.0,231.0,143.0,231.0,143.0,231.0,143.0,1.0452488687782806,1.0452488687782806
31202928-193a-4038-b71b-df998f8b5738,67,True,"[(88, 143)]",166,144,53,61,166,83,221,231,88,231,88,231,88,231,88,231,88,231,88,231,88,231,88,231,88,231,88,231,88,231.0,88.0,231.0,88.0,231.0,88.0,231.0,88.0,1.0452488687782806,1.0452488687782806
1f05ae0f-062b-4b71-9b18-c81586ce12c9,11,False,"[(93, 126), (106, 117), (141, 108)]",210,232,57,70,210,93,219,219,93,223,106,219,93,219,93,223,106,219,93,223,106,219,93,219,93,249,141,219,93,219.0,93.0,221.0,99.5,219.0,93.0,222.161,103.2732,1.1369863013698631,1.0
1f05ae0f-062b-4b71-9b18-c81586ce12c9,11,False,"[(126, 93), (117, 106), (108, 141)]",232,210,70,57,232,126,219,219,126,223,117,219,126,219,126,223,117,219,126,223,117,219,126,219,126,249,108,219,126,219.0,126.0,221.0,121.5,219.0,126.0,222.161,118.8878,1.1369863013698631,1.0
6da1dcb9-9b87-4594-aa9f-fc99b090b0b2,67,True,"[(254, 56)]",254,56,86,11,254,254,310,310,254,310,254,310,254,310,254,310,254,310,254,310,254,310,254,310,254,310,254,310,254,310.0,254.0,310.0,254.0,310.0,254.0,310.0,254.0,1.0,1.0
6da1dcb9-9b87-4594-aa9f-fc99b090b0b2,67,True,"[(56, 254)]",56,254,11,86,56,56,310,310,56,310,56,310,56,310,56,310,56,310,56,310,56,310,56,310,56,310,56,310,56,310.0,56.0,310.0,56.0,310.0,56.0,310.0,56.0,1.0,1.0
ef524c3f-521c-4d21-b08d-780efaeb963e,1,False,"[(81, 26)]",90,34,19,11,90,81,107,107,81,107,81,107,81,107,81,107,81,107,81,107,81,107,81,107,81,107,81,107,81,107.0,81.0,107.0,81.0,107.0,81.0,107.0,81.0,1.0,1.0
ef524c3f-521c-4d21-b08d-780efaeb963e,1,False,"[(26, 81)]",34,90,11,19,34,26,107,107,26,107,26,107,26,107,26,107,26,107,26,107,26,107,26,107,26,107,26,107,26,107.0,26.0,107.0,26.0,107.0,26.0,107.0,26.0,1.0,1.0
