eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Nash,Individual Time In Nash,Utilitarian,Individual Time In Utilitarian,Egalitarian,Individual Time In Egalitarian,PoA,PoS
2986ab4f-3bb9-440a-ab37-4f2b8d2a744f,44,True,"[(452, 112)]",452,112,181,40,452,470,555,564,452,564,452,564,452,564,452,564,452,564,452,564,452,564,452,564,452,564,452,564,452,564.0,452.0,564.0,452.0,564.0,452.0,564.0,452.0,1.0162162162162163,1.0162162162162163
0793ac51-3cc8-4c68-b69d-c36bb2e0b54e,44,False,"[(264, 219)]",926,926,205,205,926,255,477,483,264,483,264,483,264,483,264,483,264,483,264,483,264,483,264,483,264,483,264,483,264,483.0,264.0,483.0,264.0,483.0,264.0,483.0,264.0,1.0125786163522013,1.0125786163522013
0793ac51-3cc8-4c68-b69d-c36bb2e0b54e,44,False,"[(219, 264)]",926,926,205,205,926,222,477,483,219,483,219,483,219,483,219,483,219,483,219,483,219,483,219,483,219,483,219,483,219,483.0,219.0,483.0,219.0,483.0,219.0,483.0,219.0,1.0125786163522013,1.0125786163522013
963a605c-1244-4c9e-866f-bf09ab4c5165,33,True,"[(100, 56)]",100,56,28,22,100,55,121,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156,100,156.0,100.0,156.0,100.0,156.0,100.0,156.0,100.0,1.2892561983471074,1.2892561983471074
963a605c-1244-4c9e-866f-bf09ab4c5165,33,True,"[(56, 100)]",56,100,22,28,56,66,121,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156,56,156.0,56.0,156.0,56.0,156.0,56.0,156.0,56.0,1.2892561983471074,1.2892561983471074
093b54fe-da4d-49f5-be4e-fa47d1c0a172,1,False,"[(43, 76)]",100,134,23,40,100,43,119,119,43,119,43,119,43,119,43,119,43,119,43,119,43,119,43,119,43,119,43,119,43,119.0,43.0,119.0,43.0,119.0,43.0,119.0,43.0,1.0,1.0
093b54fe-da4d-49f5-be4e-fa47d1c0a172,1,False,"[(76, 43)]",134,100,40,23,134,76,119,119,76,119,76,119,76,119,76,119,76,119,76,119,76,119,76,119,76,119,76,119,76,119.0,76.0,119.0,76.0,119.0,76.0,119.0,76.0,1.0,1.0
2914653c-933a-499b-a0c6-74dbdf68ce78,44,False,"[(261, 294), (270, 281)]",640,606,243,240,640,265,541,555,261,551,270,551,270,551,270,551,270,551,270,551,270,551,270,551,270,555,261,551,270,552.4901,266.6474,551.0,270.0,551.0,270.0,551.0,270.0,1.0258780036968578,1.0184842883548983
2914653c-933a-499b-a0c6-74dbdf68ce78,44,False,"[(294, 261), (281, 270)]",606,640,240,243,606,276,541,555,294,551,281,551,281,551,281,551,281,551,281,551,281,551,281,551,281,555,294,551,281,552.4901,285.8427,551.0,281.0,551.0,281.0,551.0,281.0,1.0258780036968578,1.0184842883548983
607131ad-b2ee-452b-811a-c7011c8d8d81,0,True,"[(112, 34)]",112,34,35,16,112,76,119,146,112,146,112,146,112,146,112,146,112,146,112,146,112,146,112,146,112,146,112,146,112,146.0,112.0,146.0,112.0,146.0,112.0,146.0,112.0,1.226890756302521,1.226890756302521
607131ad-b2ee-452b-811a-c7011c8d8d81,0,True,"[(34, 112)]",34,112,16,35,34,43,119,146,34,146,34,146,34,146,34,146,34,146,34,146,34,146,34,146,34,146,34,146,34,146.0,34.0,146.0,34.0,146.0,34.0,146.0,34.0,1.226890756302521,1.226890756302521
