eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Utilitarian,Individual Time In Utilitarian,Egalitarian,Individual Time In Egalitarian,Nash,Individual Time In Nash,PoA,PoS
26a79ead-ef8f-4ec3-9056-55f061cbb7d8,133,True,"[(100, 100)]",100,100,31,28,100,100,200,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,1.0,1.0
26a79ead-ef8f-4ec3-9056-55f061cbb7d8,133,True,"[(100, 100)]",100,100,28,31,100,100,200,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,1.0,1.0
c40e4136-21a4-4068-88b0-1faf4f766e61,11,False,"[(367, 510)]",376,518,124,157,376,367,877,877,367,877,367,877,367,877,367,877,367,877,367,877,367,877,367,877,367,877,367,877,367,877.0,367.0,877.0,367.0,877.0,367.0,877.0,367.0,1.0,1.0
c40e4136-21a4-4068-88b0-1faf4f766e61,11,False,"[(510, 367)]",518,376,157,124,518,510,877,877,510,877,510,877,510,877,510,877,510,877,510,877,510,877,510,877,510,877,510,877,510,877.0,510.0,877.0,510.0,877.0,510.0,877.0,510.0,1.0,1.0
de328564-e478-4ae2-a393-d57c921ccdf7,133,True,"[(210, 12)]",210,12,65,3,210,210,222,222,210,222,210,222,210,222,210,222,210,222,210,222,210,222,210,222,210,222,210,222,210,222.0,210.0,222.0,210.0,222.0,210.0,222.0,210.0,1.0,1.0
de328564-e478-4ae2-a393-d57c921ccdf7,133,True,"[(12, 210)]",12,210,3,65,12,12,222,222,12,222,12,222,12,222,12,222,12,222,12,222,12,222,12,222,12,222,12,222,12,222.0,12.0,222.0,12.0,222.0,12.0,222.0,12.0,1.0,1.0
715ceedc-adb2-4bea-8be5-7f34958007c9,45,True,"[(103, 236), (107, 228)]",166,376,31,88,166,106,333,339,103,335,107,335,107,335,107,335,107,339,103,339,103,339,103,339,103,335,107,335,107,337.1606,104.8394,335.0,107.0,339.0,103.0,338.9999,103.0,1.018018018018018,1.006006006006006
715ceedc-adb2-4bea-8be5-7f34958007c9,45,True,"[(236, 103), (228, 107)]",376,166,88,31,376,227,333,339,236,335,228,335,228,335,228,335,228,339,236,339,236,339,236,339,236,335,228,335,228,337.1606,232.3212,335.0,228.0,339.0,236.0,338.9999,235.9999,1.018018018018018,1.006006006006006
02e7c60c-a1cb-4193-9fc6-e528185bb3e9,111,True,"[(100, 122)]",100,122,19,32,100,100,222,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222,100,222.0,100.0,222.0,100.0,222.0,100.0,222.0,100.0,1.0,1.0
02e7c60c-a1cb-4193-9fc6-e528185bb3e9,111,True,"[(122, 100)]",122,100,32,19,122,122,222,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222,122,222.0,122.0,222.0,122.0,222.0,122.0,222.0,122.0,1.0,1.0
73324b4e-9179-432e-9e68-bdfc7c69bdb9,12,True,"[(100, 222)]",100,222,28,71,100,100,322,322,100,322,100,322,100,322,100,322,100,322,100,322,100,322,100,322,100,322,100,322,100,322.0,100.0,322.0,100.0,322.0,100.0,322.0,100.0,1.0,1.0
73324b4e-9179-432e-9e68-bdfc7c69bdb9,12,True,"[(222, 100)]",222,100,71,28,222,222,322,322,222,322,222,322,222,322,222,322,222,322,222,322,222,322,222,322,222,322,222,322,222,322.0,222.0,322.0,222.0,322.0,222.0,322.0,222.0,1.0,1.0
82dcdcdd-2adc-4be6-aa85-40f9ba5d3d3c,55,True,"[(100, 78)]",100,78,23,23,100,100,178,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178,100,178.0,100.0,178.0,100.0,178.0,100.0,178.0,100.0,1.0,1.0
82dcdcdd-2adc-4be6-aa85-40f9ba5d3d3c,55,True,"[(78, 100)]",78,100,23,23,78,78,178,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178,78,178.0,78.0,178.0,78.0,178.0,78.0,178.0,78.0,1.0,1.0
53c57192-f152-41ff-a7de-ca13916e5f64,45,True,"[(144, 408)]",144,408,31,96,144,155,431,552,144,552,144,552,144,552,144,552,144,552,144,552,144,552,144,552,144,552,144,552,144,552.0,144.0,552.0,144.0,552.0,144.0,552.0,144.0,1.2807424593967518,1.2807424593967518
53c57192-f152-41ff-a7de-ca13916e5f64,45,True,"[(408, 144)]",408,144,96,31,408,276,431,552,408,552,408,552,408,552,408,552,408,552,408,552,408,552,408,552,408,552,408,552,408,552.0,408.0,552.0,408.0,552.0,408.0,552.0,408.0,1.2807424593967518,1.2807424593967518
f991a693-0622-4914-b857-25ad1a81bd74,89,True,"[(100, 144)]",100,144,36,27,100,100,244,244,100,244,100,244,100,244,100,244,100,244,100,244,100,244,100,244,100,244,100,244,100,244.0,100.0,244.0,100.0,244.0,100.0,244.0,100.0,1.0,1.0
f991a693-0622-4914-b857-25ad1a81bd74,89,True,"[(144, 100)]",144,100,27,36,144,144,244,244,144,244,144,244,144,244,144,244,144,244,144,244,144,244,144,244,144,244,144,244,144,244.0,144.0,244.0,144.0,244.0,144.0,244.0,144.0,1.0,1.0
49e57b6d-b4ce-4e92-93d3-a64f09a90aff,89,True,"[(122, 156)]",122,156,57,47,122,122,278,278,122,278,122,278,122,278,122,278,122,278,122,278,122,278,122,278,122,278,122,278,122,278.0,122.0,278.0,122.0,278.0,122.0,278.0,122.0,1.0,1.0
49e57b6d-b4ce-4e92-93d3-a64f09a90aff,89,True,"[(156, 122)]",156,122,47,57,156,156,278,278,156,278,156,278,156,278,156,278,156,278,156,278,156,278,156,278,156,278,156,278,156,278.0,156.0,278.0,156.0,278.0,156.0,278.0,156.0,1.0,1.0
4104e3cb-132f-4539-af8d-6ada469a9eca,133,True,"[(100, 100)]",100,100,19,28,100,100,200,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,1.0,1.0
4104e3cb-132f-4539-af8d-6ada469a9eca,133,True,"[(100, 100)]",100,100,28,19,100,100,200,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,1.0,1.0
f71b2ba0-aa97-48e3-b0aa-248cddbae2c1,133,True,"[(144, 100)]",144,100,57,28,144,144,244,244,144,244,144,244,144,244,144,244,144,244,144,244,144,244,144,244,144,244,144,244,144,244.0,144.0,244.0,144.0,244.0,144.0,244.0,144.0,1.0,1.0
