eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Utilitarian,Individual Time In Utilitarian,Egalitarian,Individual Time In Egalitarian,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,PoA,PoS
f6a197a4-2b89-4faa-9fd2-c2db4b11bd07,56,True,"[(100, 156)]",100,156,28,35,100,147,217,256,100,256,100,256,100,256,100,256,100,256,100,256,100,256,100,256,100,256,100,256,100,256.0,100.0,256.0,100.0,256.0,100.0,256.0,100.0,1.1797235023041475,1.1797235023041475
f6a197a4-2b89-4faa-9fd2-c2db4b11bd07,56,True,"[(156, 100)]",156,100,35,28,156,70,217,256,156,256,156,256,156,256,156,256,156,256,156,256,156,256,156,256,156,256,156,256,156,256.0,156.0,256.0,156.0,256.0,156.0,256.0,156.0,1.1797235023041475,1.1797235023041475
72658749-2973-4ff7-af39-6a37f5de6003,33,True,"[(75, 164), (88, 143)]",100,188,27,56,100,109,229,239,75,231,88,231,88,231,88,231,88,239,75,239,75,239,75,239,75,231,88,231,88,231.0,88.0,238.7648,75.3824,235.8791,80.0714,235.21620000000001,81.1486,1.0436681222707425,1.0087336244541485
72658749-2973-4ff7-af39-6a37f5de6003,33,True,"[(164, 75), (143, 88)]",188,100,56,27,188,120,229,239,164,231,143,231,143,231,143,231,143,239,164,239,164,239,164,239,164,231,143,231,143,231.0,143.0,238.7648,163.3824,235.8791,155.8077,235.21620000000001,154.0676,1.0436681222707425,1.0087336244541485
af058521-2e23-42ad-958b-16d898246047,77,True,"[(100, 90)]",100,90,32,27,100,100,190,190,100,190,100,190,100,190,100,190,100,190,100,190,100,190,100,190,100,190,100,190,100,190.0,100.0,190.0,100.0,190.0,100.0,190.0,100.0,1.0,1.0
af058521-2e23-42ad-958b-16d898246047,77,True,"[(90, 100)]",90,100,27,32,90,90,190,190,90,190,90,190,90,190,90,190,90,190,90,190,90,190,90,190,90,190,90,190,90,190.0,90.0,190.0,90.0,190.0,90.0,190.0,90.0,1.0,1.0
0c40c365-b512-4cf8-8631-f5591b2bcba2,89,True,"[(100, 100)]",100,100,28,19,100,58,193,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,1.0362694300518134,1.0362694300518134
0c40c365-b512-4cf8-8631-f5591b2bcba2,89,True,"[(100, 100)]",100,100,19,28,100,135,193,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200,100,200.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,1.0362694300518134,1.0362694300518134
125e1417-c6a6-463b-ab5b-7913b6830196,12,True,"[(74, 173)]",100,232,28,56,100,74,247,247,74,247,74,247,74,247,74,247,74,247,74,247,74,247,74,247,74,247,74,247,74,247.0,74.0,247.0,74.0,247.0,74.0,247.0,74.0,1.0,1.0
125e1417-c6a6-463b-ab5b-7913b6830196,12,True,"[(173, 74)]",232,100,56,28,232,173,247,247,173,247,173,247,173,247,173,247,173,247,173,247,173,247,173,247,173,247,173,247,173,247.0,173.0,247.0,173.0,247.0,173.0,247.0,173.0,1.0,1.0
e1950a89-b5b2-4f3a-b49e-506da97bbba9,110,False,"[(303, 402)]",662,650,247,235,662,303,705,705,303,705,303,705,303,705,303,705,303,705,303,705,303,705,303,705,303,705,303,705,303,705.0,303.0,705.0,303.0,705.0,303.0,705.0,303.0,1.0,1.0
e1950a89-b5b2-4f3a-b49e-506da97bbba9,110,False,"[(402, 303)]",650,662,235,247,650,402,705,705,402,705,402,705,402,705,402,705,402,705,402,705,402,705,402,705,402,705,402,705,402,705.0,402.0,705.0,402.0,705.0,402.0,705.0,402.0,1.0,1.0
c337cb97-2ce9-4f93-ac20-48ba6a1176f6,11,True,"[(122, 178)]",122,178,32,43,122,124,293,300,122,300,122,300,122,300,122,300,122,300,122,300,122,300,122,300,122,300,122,300,122,300.0,122.0,300.0,122.0,300.0,122.0,300.0,122.0,1.023890784982935,1.023890784982935
c337cb97-2ce9-4f93-ac20-48ba6a1176f6,11,True,"[(178, 122)]",178,122,43,32,178,169,293,300,178,300,178,300,178,300,178,300,178,300,178,300,178,300,178,300,178,300,178,300,178,300.0,178.0,300.0,178.0,300.0,178.0,300.0,178.0,1.023890784982935,1.023890784982935
645b7452-a15a-473b-921a-238eea1d8a16,0,True,"[(276, 882)]",276,882,86,280,276,294,863,1158,276,1158,276,1158,276,1158,276,1158,276,1158,276,1158,276,1158,276,1158,276,1158,276,1158,276,1158.0,276.0,1158.0,276.0,1158.0,276.0,1158.0,276.0,1.3418308227114717,1.3418308227114717
645b7452-a15a-473b-921a-238eea1d8a16,0,True,"[(882, 276)]",882,276,280,86,882,569,863,1158,882,1158,882,1158,882,1158,882,1158,882,1158,882,1158,882,1158,882,1158,882,1158,882,1158,882,1158.0,882.0,1158.0,882.0,1158.0,882.0,1158.0,882.0,1.3418308227114717,1.3418308227114717
eae5d3a9-a569-4c8b-9ed9-757aea536bc5,12,False,"[(100, 155), (104, 137), (91, 168), (82, 171)]",122,254,27,74,122,104,241,253,82,241,104,241,104,241,104,241,104,253,82,253,82,253,82,253,82,241,104,241,104,241.0,104.0,253.0,82.0,253.0,82.0,248.8516,89.6055,1.0746887966804979,1.0
