eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,Nash,Individual Time In Nash,Utilitarian,Individual Time In Utilitarian,PoA,PoS
72845838-d00b-47c4-a20f-9d20fda93585,23,True,"[(63, 107), (54, 110)]",100,166,28,50,100,57,158,164,54,170,63,164,54,164,54,170,63,164,54,170,63,164,54,164,54,170,63,164,54,165.2377,55.8565,164.0,54.0,164.0,54.0,164.0,54.0,1.0759493670886076,1.0379746835443038
72845838-d00b-47c4-a20f-9d20fda93585,23,True,"[(107, 63), (110, 54)]",166,100,50,28,166,101,158,164,110,170,107,164,110,164,110,170,107,164,110,170,107,164,110,164,110,170,107,164,110,165.2377,109.3812,164.0,110.0,164.0,110.0,164.0,110.0,1.0759493670886076,1.0379746835443038
2113403a-6f78-497a-b5f4-c076d9e93a07,67,True,"[(100, 112)]",100,112,23,41,100,133,200,212,100,212,100,212,100,212,100,212,100,212,100,212,100,212,100,212,100,212,100,212,100,212.0,100.0,212.0,100.0,212.0,100.0,212.0,100.0,1.06,1.06
2113403a-6f78-497a-b5f4-c076d9e93a07,67,True,"[(112, 100)]",112,100,41,23,112,67,200,212,112,212,112,212,112,212,112,212,112,212,112,212,112,212,112,212,112,212,112,212,112,212.0,112.0,212.0,112.0,212.0,112.0,212.0,112.0,1.06,1.06
729b6c9b-3c0f-42fd-9d14-4fcd2d44940d,22,True,"[(55, 77), (90, 68), (37, 81)]",100,112,19,23,100,37,118,118,37,132,55,118,37,118,37,132,55,132,55,132,55,118,37,118,37,158,90,118,37,128.3967,50.7756,137.394,62.697,118.0,37.0,118.0,37.0,1.3389830508474576,1.0
729b6c9b-3c0f-42fd-9d14-4fcd2d44940d,22,True,"[(77, 55), (68, 90), (81, 37)]",112,100,23,19,112,81,118,118,81,132,77,118,81,118,81,132,77,132,77,132,77,118,81,118,81,158,68,118,81,128.3967,77.6211,137.394,74.697,118.0,81.0,118.0,81.0,1.3389830508474576,1.0
93305a15-7ee4-448e-8413-dd8286b8f807,0,True,"[(122, 1168)]",122,1168,45,402,122,228,1238,1290,122,1290,122,1290,122,1290,122,1290,122,1290,122,1290,122,1290,122,1290,122,1290,122,1290,122,1290.0,122.0,1290.0,122.0,1290.0,122.0,1290.0,122.0,1.0420032310177707,1.0420032310177707
93305a15-7ee4-448e-8413-dd8286b8f807,0,True,"[(1168, 122)]",1168,122,402,45,1168,1010,1238,1290,1168,1290,1168,1290,1168,1290,1168,1290,1168,1290,1168,1290,1168,1290,1168,1290,1168,1290,1168,1290,1168,1290.0,1168.0,1290.0,1168.0,1290.0,1168.0,1290.0,1168.0,1.0420032310177707,1.0420032310177707
5c8338cb-2225-428c-9fbb-030819cf643f,0,False,"[(100, 78), (87, 87), (57, 113)]",100,212,28,47,100,60,164,170,57,174,87,170,57,170,57,174,87,170,57,170,57,170,57,170,57,178,100,170,57,171.17170000000002,65.7875,170.0,57.0,170.0,57.0001,170.0,57.0,1.0853658536585367,1.0365853658536586
5c8338cb-2225-428c-9fbb-030819cf643f,0,False,"[(78, 100), (87, 87), (113, 57)]",212,100,47,28,212,104,164,170,113,174,87,170,113,170,113,174,87,170,113,170,113,170,113,170,113,178,78,170,113,171.17170000000002,105.3842,170.0,113.0,170.0,112.9999,170.0,113.0,1.0853658536585367,1.0365853658536586
5d0facfd-259e-43eb-a749-680fdb45732e,22,False,"[(73, 29), (55, 55)]",90,56,18,11,90,73,102,102,73,110,55,102,73,102,73,110,55,102,73,102,73,102,73,102,73,110,55,102,73,104.7851,66.73349999999999,103.81819999999999,68.9091,102.376,72.1538,102.0,73.0,1.0784313725490196,1.0
5d0facfd-259e-43eb-a749-680fdb45732e,22,False,"[(29, 73), (55, 55)]",56,90,11,18,56,29,102,102,29,110,55,102,29,102,29,110,55,102,29,102,29,102,29,102,29,110,55,102,29,104.7851,38.0516,103.81819999999999,34.909099999999995,102.376,30.2222,102.0,29.0,1.0784313725490196,1.0
