eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Nash,Individual Time In Nash,PoA,PoS
15897707-9ef6-42cf-adf6-b1ab6d5c0c75,77,True,"[(34, 100)]",34,100,7,28,34,34,134,134,34,134,34,134,34,134,34,134,34,134,34,134,34,134,34,134,34,134,34,134,34,134.0,34.0,134.0,34.0,134.0,34.0,134.0,34.0,1.0,1.0
123cf248-d35a-4f66-bf61-a0d52ab24b43,0,True,"[(71, 126), (98, 109), (89, 122)]",100,234,31,50,100,93,197,197,71,207,98,197,71,197,71,207,98,197,71,197,71,197,71,197,71,207,98,197,71,197.0,71.0,197.0,71.0,198.2745,74.4413,197.0,71.0,1.0710659898477157,1.0
123cf248-d35a-4f66-bf61-a0d52ab24b43,0,True,"[(126, 71), (109, 98), (122, 89)]",234,100,50,31,234,104,197,197,126,207,109,197,126,197,126,207,109,197,126,197,126,197,126,197,126,207,109,197,126,197.0,126.0,197.0,126.0,198.2745,123.8332,197.0,126.0,1.0710659898477157,1.0
0fe96b30-f266-4e88-8405-893e3ca5e9b4,0,False,"[(71, 126), (88, 121)]",122,200,41,48,122,71,197,197,71,209,88,197,71,197,71,209,88,197,71,197,71,197,71,197,71,209,88,197,71,197.0,71.0,197.0,71.0,198.9149,73.7128,197.0,71.0,1.0609137055837563,1.0
0fe96b30-f266-4e88-8405-893e3ca5e9b4,0,False,"[(126, 71), (121, 88)]",200,122,48,41,200,126,197,197,126,209,121,197,126,197,126,209,121,197,126,197,126,197,126,197,126,209,121,197,126,197.0,126.0,197.0,126.0,198.9149,125.2021,197.0,126.0,1.0609137055837563,1.0
561c3bac-e5c0-4761-9f15-8121a8c3a227,0,False,"[(585, 518), (576, 543)]",1982,1882,509,478,1982,585,1103,1103,585,1119,576,1103,585,1103,585,1119,576,1103,585,1119,576,1103,585,1103,585,1119,576,1103,585,1103.0,585.0,1103.0,585.0,1107.1414999999997,582.6704,1103.0,585.0,1.014505893019039,1.0
561c3bac-e5c0-4761-9f15-8121a8c3a227,0,False,"[(518, 585), (543, 576)]",1882,1982,478,509,1882,518,1103,1103,518,1119,543,1103,518,1103,518,1119,543,1103,518,1119,543,1103,518,1103,518,1119,543,1103,518,1103.0,518.0,1103.0,518.0,1107.1414999999997,524.4711,1103.0,518.0,1.014505893019039,1.0
96769b52-6200-4246-968a-3488a3c96cef,0,True,"[(1366, 78)]",1366,78,400,15,1366,1366,1444,1444,1366,1444,1366,1444,1366,1444,1366,1444,1366,1444,1366,1444,1366,1444,1366,1444,1366,1444,1366,1444,1366,1444.0,1366.0,1444.0,1366.0,1444.0,1366.0,1444.0,1366.0,1.0,1.0
96769b52-6200-4246-968a-3488a3c96cef,0,True,"[(78, 1366)]",78,1366,15,400,78,78,1444,1444,78,1444,78,1444,78,1444,78,1444,78,1444,78,1444,78,1444,78,1444,78,1444,78,1444,78,1444.0,78.0,1444.0,78.0,1444.0,78.0,1444.0,78.0,1.0,1.0
89c21a2a-04ea-4e36-b3d6-31752be73b18,55,True,"[(100, 90)]",100,90,28,22,100,58,171,190,100,190,100,190,100,190,100,190,100,190,100,190,100,190,100,190,100,190,100,190,100,190.0,100.0,190.0,100.0,190.0,100.0,190.0,100.0,1.1111111111111112,1.1111111111111112
89c21a2a-04ea-4e36-b3d6-31752be73b18,55,True,"[(90, 100)]",90,100,22,28,90,113,171,190,90,190,90,190,90,190,90,190,90,190,90,190,90,190,90,190,90,190,90,190,90,190.0,90.0,190.0,90.0,190.0,90.0,190.0,90.0,1.1111111111111112,1.1111111111111112
