eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Utilitarian,Individual Time In Utilitarian,Nash,Individual Time In Nash,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Egalitarian,Individual Time In Egalitarian,PoA,PoS
134a3043-87dd-402e-8a8d-8dfb486cc485,0,False,"[(59, 66)]",70,84,53,63,70,59,125,125,59,125,59,125,59,125,59,125,59,125,59,125,59,125,59,125,59,125,59,125,59,125.0,59.0,125.0,59.0,125.0,59.0,125.0,59.0,1.0,1.0
19b02165-63b3-46b6-89c3-1e81239268c0,3,False,"[(43, 40)]",58,58,39,39,58,43,83,83,43,83,43,83,43,83,43,83,43,83,43,83,43,83,43,83,43,83,43,83,43,83.0,43.0,83.0,43.0,83.0,43.0,83.0,43.0,1.0,1.0
19b02165-63b3-46b6-89c3-1e81239268c0,3,False,"[(40, 43)]",58,58,39,39,58,40,83,83,40,83,40,83,40,83,40,83,40,83,40,83,40,83,40,83,40,83,40,83,40,83.0,40.0,83.0,40.0,83.0,40.0,83.0,40.0,1.0,1.0
e816d7fb-02f6-4f92-a7f2-70f7f48df632,6,False,"[(47, 44)]",58,62,40,44,58,47,91,91,47,91,47,91,47,91,47,91,47,91,47,91,47,91,47,91,47,91,47,91,47,91.0,47.0,91.0,47.0,91.0,47.0,91.0,47.0,1.0,1.0
e816d7fb-02f6-4f92-a7f2-70f7f48df632,6,False,"[(44, 47)]",62,58,44,40,62,44,91,91,44,91,44,91,44,91,44,91,44,91,44,91,44,91,44,91,44,91,44,91,44,91.0,44.0,91.0,44.0,91.0,44.0,91.0,44.0,1.0,1.0
aa772e13-04e4-450e-93ca-5583f8c9bd5c,12,False,"[(50, 59)]",68,64,48,48,68,50,109,109,50,109,50,109,50,109,50,109,50,109,50,109,50,109,50,109,50,109,50,109,50,109.0,50.0,109.0,50.0,109.0,50.0,109.0,50.0,1.0,1.0
aa772e13-04e4-450e-93ca-5583f8c9bd5c,12,False,"[(59, 50)]",64,68,48,48,64,59,109,109,59,109,59,109,59,109,59,109,59,109,59,109,59,109,59,109,59,109,59,109,59,109.0,59.0,109.0,59.0,109.0,59.0,109.0,59.0,1.0,1.0
a5b5f1b0-4b6b-4a72-b3eb-6bdf6c438989,6,False,"[(47, 54)]",62,62,46,47,62,47,101,101,47,101,47,101,47,101,47,101,47,101,47,101,47,101,47,101,47,101,47,101,47,101.0,47.0,101.0,47.0,101.0,47.0,101.0,47.0,1.0,1.0
a5b5f1b0-4b6b-4a72-b3eb-6bdf6c438989,6,False,"[(54, 47)]",62,62,47,46,62,54,101,101,54,101,54,101,54,101,54,101,54,101,54,101,54,101,54,101,54,101,54,101,54,101.0,54.0,101.0,54.0,101.0,54.0,101.0,54.0,1.0,1.0
e6f102ac-a8f0-41eb-bf1e-4b2eca4e5ec6,6,False,"[(49, 46)]",58,62,42,44,58,49,95,95,49,95,49,95,49,95,49,95,49,95,49,95,49,95,49,95,49,95,49,95,49,95.0,49.0,95.0,49.0,95.0,49.0,95.0,49.0,1.0,1.0
e6f102ac-a8f0-41eb-bf1e-4b2eca4e5ec6,6,False,"[(46, 49)]",62,58,44,42,62,46,95,95,46,95,46,95,46,95,46,95,46,95,46,95,46,95,46,95,46,95,46,95,46,95.0,46.0,95.0,46.0,95.0,46.0,95.0,46.0,1.0,1.0
e8912573-51ab-475f-82a1-02c204a286bf,3,False,"[(61, 58)]",82,76,58,55,82,61,119,119,61,119,61,119,61,119,61,119,61,119,61,119,61,119,61,119,61,119,61,119,61,119.0,61.0,119.0,61.0,119.0,61.0,119.0,61.0,1.0,1.0
e8912573-51ab-475f-82a1-02c204a286bf,3,False,"[(58, 61)]",76,82,55,58,76,58,119,119,58,119,58,119,58,119,58,119,58,119,58,119,58,119,58,119,58,119,58,119,58,119.0,58.0,119.0,58.0,119.0,58.0,119.0,58.0,1.0,1.0
d3e8de7a-ce18-4ea3-80ed-45c4fb00bb63,0,False,"[(119, 126)]",154,168,113,123,154,119,245,245,119,245,119,245,119,245,119,245,119,245,119,245,119,245,119,245,119,245,119,245,119,245.0,119.0,245.0,119.0,245.0,119.0,245.0,119.0,1.0,1.0
d3e8de7a-ce18-4ea3-80ed-45c4fb00bb63,0,False,"[(126, 119)]",168,154,123,113,168,126,245,245,126,245,126,245,126,245,126,245,126,245,126,245,126,245,126,245,126,245,126,245,126,245.0,126.0,245.0,126.0,245.0,126.0,245.0,126.0,1.0,1.0
fba28600-dd74-4267-9ef4-a6482de1d10c,0,False,"[(40, 33)]",54,40,39,27,54,40,73,73,40,73,40,73,40,73,40,73,40,73,40,73,40,73,40,73,40,73,40,73,40,73.0,40.0,73.0,40.0,73.0,40.0,73.0,40.0,1.0,1.0
fba28600-dd74-4267-9ef4-a6482de1d10c,0,False,"[(33, 40)]",40,54,27,39,40,33,73,73,33,73,33,73,33,73,33,73,33,73,33,73,33,73,33,73,33,73,33,73,33,73.0,33.0,73.0,33.0,73.0,33.0,73.0,33.0,1.0,1.0
