eid,path_time_div,is_sp_pne,Potential,SIP1,SIP2,SCP1,SCP2,SIP1|SIP2,Individual Time In Optimal Social Welfare,Optimal Social Welfare,Min-Min,Individual Time In Min-Min,Min-Max,Individual Time In Min-Max,Min-Sum,Individual Time In Min-Sum,Min-Avg,Individual Time In Min-Avg,Min-Abs,Individual Time In Min-Abs,Max-Min-Surplus,Individual Time In Max-Min-Surplus,Max-Min-Improvement,Individual Time In Max-Min-Improvement,Max-Avg-Improvement,Individual Time In Max-Avg-Improvement,MAX-Nash-Value,Individual Time In MAX-Nash-Value,MIN-Nash-Value,Individual Time In MIN-Nash-Value,MIN-Sum-Surplus,Individual Time In MIN-Sum-Surplus,Egalitarian,Individual Time In Egalitarian,Utilitarian,Individual Time In Utilitarian,Kalai_Smorodinsky,Individual Time In Kalai_Smorodinsky,Nash,Individual Time In Nash,PoA,PoS
45c4703d-1282-41db-a757-628483c39f5a,0,False,"[(57, 42), (47, 62), (48, 55)]",122,92,42,35,122,57,99,99,57,103,48,99,57,99,57,103,48,99,57,99,57,99,57,99,57,109,47,99,57,99.0,57.0,99.0,57.0,100.40350000000001,53.8421,99.0,57.0,1.101010101010101,1.0
45c4703d-1282-41db-a757-628483c39f5a,0,False,"[(42, 57), (62, 47), (55, 48)]",92,122,35,42,92,42,99,99,42,103,55,99,42,99,42,103,55,99,42,99,42,99,42,99,42,109,62,99,42,99.0,42.0,99.0,42.0,100.40350000000001,46.5614,99.0,42.0,1.101010101010101,1.0
0edf8044-0e8f-4310-8797-5e250aa13bd5,14,False,"[(176, 191)]",408,408,175,166,408,179,365,367,176,367,176,367,176,367,176,367,176,367,176,367,176,367,176,367,176,367,176,367,176,367.0,176.0,367.0,176.0,367.0,176.0,367.0,176.0,1.0054794520547945,1.0054794520547945
0edf8044-0e8f-4310-8797-5e250aa13bd5,14,False,"[(191, 176)]",408,408,166,175,408,186,365,367,191,367,191,367,191,367,191,367,191,367,191,367,191,367,191,367,191,367,191,367,191,367.0,191.0,367.0,191.0,367.0,191.0,367.0,191.0,1.0054794520547945,1.0054794520547945
4810585e-540e-4f72-a118-941056ef8ed2,7,False,"[(64, 57)]",148,148,52,52,148,64,121,121,64,121,64,121,64,121,64,121,64,121,64,121,64,121,64,121,64,121,64,121,64,121.0,64.0,121.0,64.0,121.0,64.0,121.0,64.0,1.0,1.0
4810585e-540e-4f72-a118-941056ef8ed2,7,False,"[(57, 64)]",148,148,52,52,148,57,121,121,57,121,57,121,57,121,57,121,57,121,57,121,57,121,57,121,57,121,57,121,57,121.0,57.0,121.0,57.0,121.0,57.0,121.0,57.0,1.0,1.0
f2250328-1be1-489e-8ec9-71b216aa4b4d,14,False,"[(381, 304)]",786,638,306,254,786,371,679,685,381,685,381,685,381,685,381,685,381,685,381,685,381,685,381,685,381,685,381,685,381,685.0,381.0,685.0,381.0,685.0,381.0,685.0,381.0,1.0088365243004418,1.0088365243004418
f2250328-1be1-489e-8ec9-71b216aa4b4d,14,False,"[(304, 381)]",638,786,254,306,638,308,679,685,304,685,304,685,304,685,304,685,304,685,304,685,304,685,304,685,304,685,304,685,304,685.0,304.0,685.0,304.0,685.0,304.0,685.0,304.0,1.0088365243004418,1.0088365243004418
823cf8e9-7ec3-4f11-860e-6e2092a33a7f,14,False,"[(68, 53)]",128,128,55,48,128,68,121,121,68,121,68,121,68,121,68,121,68,121,68,121,68,121,68,121,68,121,68,121,68,121.0,68.0,121.0,68.0,121.0,68.0,121.0,68.0,1.0,1.0
823cf8e9-7ec3-4f11-860e-6e2092a33a7f,14,False,"[(53, 68)]",128,128,48,55,128,53,121,121,53,121,53,121,53,121,53,121,53,121,53,121,53,121,53,121,53,121,53,121,53,121.0,53.0,121.0,53.0,121.0,53.0,121.0,53.0,1.0,1.0
ea5d2be0-eeda-439e-b01e-d0e8884b29c0,0,False,"[(53, 38)]",128,106,41,31,128,48,89,91,53,91,53,91,53,91,53,91,53,91,53,91,53,91,53,91,53,91,53,91,53,91.0,53.0,91.0,53.0,91.0,53.0,91.0,53.0,1.0224719101123596,1.0224719101123596
ea5d2be0-eeda-439e-b01e-d0e8884b29c0,0,False,"[(38, 53)]",106,128,31,41,106,41,89,91,38,91,38,91,38,91,38,91,38,91,38,91,38,91,38,91,38,91,38,91,38,91.0,38.0,91.0,38.0,91.0,38.0,91.0,38.0,1.0224719101123596,1.0224719101123596
e15d7434-0095-4783-b71c-65a8befe79a7,0,False,"[(107, 122), (111, 118)]",204,234,97,107,204,110,227,229,107,229,111,229,107,229,107,229,111,229,107,229,107,229,107,229,107,229,111,229,107,229.0,107.0,229.0,111.0,229.0,108.8216,229.0,107.0,1.0088105726872247,1.0088105726872247
e15d7434-0095-4783-b71c-65a8befe79a7,0,False,"[(122, 107), (118, 111)]",234,204,107,97,234,117,227,229,122,229,118,229,122,229,122,229,118,229,122,229,122,229,122,229,122,229,118,229,122,229.0,122.0,229.0,118.0,229.0,120.1784,229.0,122.0,1.0088105726872247,1.0088105726872247
e82f51c6-8cca-4a42-baef-89074da8a5a6,14,False,"[(51, 66)]",128,128,46,50,128,54,115,117,51,117,51,117,51,117,51,117,51,117,51,117,51,117,51,117,51,117,51,117,51,117.0,51.0,117.0,51.0,117.0,51.0,117.0,51.0,1.017391304347826,1.017391304347826
e82f51c6-8cca-4a42-baef-89074da8a5a6,14,False,"[(66, 51)]",128,128,50,46,128,61,115,117,66,117,66,117,66,117,66,117,66,117,66,117,66,117,66,117,66,117,66,117,66,117.0,66.0,117.0,66.0,117.0,66.0,117.0,66.0,1.017391304347826,1.017391304347826
5b598561-ec1d-45e3-8888-a7470461d7a2,14,False,"[(51, 66), (55, 62)]",128,128,44,47,128,54,115,117,51,117,55,117,51,117,51,117,55,117,55,117,55,117,51,117,55,117,51,117,51,117.0,55.0,117.0,55.0,117.0,53.153800000000004,116.9999,54.9999,1.017391304347826,1.017391304347826
5b598561-ec1d-45e3-8888-a7470461d7a2,14,False,"[(66, 51), (62, 55)]",128,128,47,44,128,61,115,117,66,117,62,117,66,117,66,117,62,117,62,117,62,117,66,117,62,117,66,117,66,117.0,62.0,117.0,62.0,117.0,63.846199999999996,116.9999,62.0,1.017391304347826,1.017391304347826
ff4b0409-0414-4fbb-9872-1490678c5b09,0,True,"[(114, 85)]",170,106,75,46,170,114,199,199,114,199,114,199,114,199,114,199,114,199,114,199,114,199,114,199,114,199,114,199,114,199.0,114.0,199.0,114.0,199.0,114.0,199.0,114.0,1.0,1.0
ff4b0409-0414-4fbb-9872-1490678c5b09,0,True,"[(85, 114)]",106,170,46,75,106,85,199,199,85,199,85,199,85,199,85,199,85,199,85,199,85,199,85,199,85,199,85,199,85,199.0,85.0,199.0,85.0,199.0,85.0,199.0,85.0,1.0,1.0
edf8dec1-b32e-4a61-b432-4a3e31398bba,0,False,"[(46, 61)]",134,156,39,51,134,49,105,107,46,107,46,107,46,107,46,107,46,107,46,107,46,107,46,107,46,107,46,107,46,107.0,46.0,107.0,46.0,107.0,46.0,107.0,46.0,1.019047619047619,1.019047619047619
edf8dec1-b32e-4a61-b432-4a3e31398bba,0,False,"[(61, 46)]",156,134,51,39,156,56,105,107,61,107,61,107,61,107,61,107,61,107,61,107,61,107,61,107,61,107,61,107,61,107.0,61.0,107.0,61.0,107.0,61.0,107.0,61.0,1.019047619047619,1.019047619047619
bea009e6-40f9-4c45-a754-c816c47ca6d3,0,False,"[(112, 197)]",246,338,105,135,246,115,307,309,112,309,112,309,112,309,112,309,112,309,112,309,112,309,112,309,112,309,112,309,112,309.0,112.0,309.0,112.0,309.0,112.0,309.0,112.0,1.006514657980456,1.006514657980456
bea009e6-40f9-4c45-a754-c816c47ca6d3,0,False,"[(197, 112)]",338,246,135,105,338,192,307,309,197,309,197,309,197,309,197,309,197,309,197,309,197,309,197,309,197,309,197,309,197,309.0,197.0,309.0,197.0,309.0,197.0,309.0,197.0,1.006514657980456,1.006514657980456
42a58f5e-9ba8-406c-93c0-6f00a9a5a242,14,False,"[(182, 119), (173, 124)]",190,156,70,70,190,173,297,301,182,297,173,297,173,297,173,297,173,297,173,297,173,297,173,297,173,301,182,297,173,297.0,173.0,297.0,173.0,297.8134,174.8301,297.0,173.0,1.0134680134680134,1.0
42a58f5e-9ba8-406c-93c0-6f00a9a5a242,14,False,"[(119, 182), (124, 173)]",156,190,70,70,156,124,297,301,119,297,124,297,124,297,124,297,124,297,124,297,124,297,124,297,124,301,119,297,124,297.0,124.0,297.0,124.0,297.8134,122.9833,297.0,124.0,1.0134680134680134,1.0
fc70b751-f2f3-4e68-a0b5-3e262499b431,0,False,"[(49, 64), (53, 60)]",134,164,39,54,134,52,111,113,49,113,53,113,49,113,49,113,53,113,49,113,49,113,49,113,49,113,53,113,49,113.0,49.0,113.0,53.0,113.0,50.7989,113.0,49.0,1.018018018018018,1.018018018018018
fc70b751-f2f3-4e68-a0b5-3e262499b431,0,False,"[(64, 49), (60, 53)]",164,134,54,39,164,59,111,113,64,113,60,113,64,113,64,113,60,113,64,113,64,113,64,113,64,113,60,113,64,113.0,64.0,113.0,60.0,113.0,62.2011,113.0,64.0,1.018018018018018,1.018018018018018
abdaecba-496e-4ef4-abdd-ac2b0cadbb36,0,False,"[(76, 91)]",176,206,66,77,176,76,167,167,76,167,76,167,76,167,76,167,76,167,76,167,76,167,76,167,76,167,76,167,76,167.0,76.0,167.0,76.0,167.0,76.0,167.0,76.0,1.0,1.0
abdaecba-496e-4ef4-abdd-ac2b0cadbb36,0,False,"[(91, 76)]",206,176,77,66,206,91,167,167,91,167,91,167,91,167,91,167,91,167,91,167,91,167,91,167,91,167,91,167,91,167.0,91.0,167.0,91.0,167.0,91.0,167.0,91.0,1.0,1.0
